rank	iteracion_bayesiana	semilla	isem	archivo
1	64	968467	1	modelo_01_064_s968467.model
1	64	541129	2	modelo_01_064_s541129.model
1	64	561529	3	modelo_01_064_s561529.model
1	64	180539	4	modelo_01_064_s180539.model
1	64	186551	5	modelo_01_064_s186551.model
1	64	643043	6	modelo_01_064_s643043.model
1	64	934469	7	modelo_01_064_s934469.model
1	64	433549	8	modelo_01_064_s433549.model
1	64	596693	9	modelo_01_064_s596693.model
1	64	205453	10	modelo_01_064_s205453.model
1	64	217979	11	modelo_01_064_s217979.model
1	64	808937	12	modelo_01_064_s808937.model
1	64	628757	13	modelo_01_064_s628757.model
1	64	137353	14	modelo_01_064_s137353.model
1	64	564391	15	modelo_01_064_s564391.model
1	64	291077	16	modelo_01_064_s291077.model
1	64	340451	17	modelo_01_064_s340451.model
1	64	692641	18	modelo_01_064_s692641.model
1	64	974747	19	modelo_01_064_s974747.model
1	64	578999	20	modelo_01_064_s578999.model
