fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241113.001402	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	14	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.154596327384011	0.702882144541826	1417	1411	2455	1	11418142.1446384	11418142.1446384	1
20241113.001510	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.203844974735345	0.766238298995319	1275	686	2160	1	11757306.7331671	11757306.7331671	2
20241113.001606	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0938781666538349	0.609920130475281	792	1703	2885	1	11384700.7481297	11384700.7481297	3
20241113.001654	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	29	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0670463394264548	0.651274005606536	663	516	2970	1	11603117.2069825	11603117.2069825	4
20241113.001743	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.182210397469407	0.787143593095445	644	395	2679	1	12068835.4114713	12068835.4114713	5
20241113.001840	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.22765059474479	0.849027676303582	1066	810	2255	1	11730561.0972569	11730561.0972569	6
20241113.001928	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	46	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0320905838807443	0.638449106754832	1304	1128	2422	1	11410608.478803	11410608.478803	7
20241113.002017	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.12851118360188	0.530256377071684	1603	357	3151	1	11270491.2718204	11270491.2718204	8
20241113.002105	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	67	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0392104781298617	0.739338602610498	306	1339	3326	1	11291925.1870324	11291925.1870324	9
20241113.002151	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.246010977315084	0.814351460246859	1931	1235	2850	1	11937680.798005	11937680.798005	10
