Feature	Gain	Cover	Frequency
ctrx_quarter	0.413273926845647	0.0854165595782716	0.0283870967741936
mcuentas_saldo	0.107116776283135	0.0347230551319615	0.0516129032258065
cpayroll_trx	0.0919807967943429	0.0568227682302524	0.0129032258064516
mtarjeta_visa_consumo	0.0344170905272539	0.0472971365039114	0.0296774193548387
mprestamos_personales	0.0329144513225759	0.023726266831916	0.0154838709677419
foto_mes	0.0321720226727309	0.0228402888435786	0.0335483870967742
ctarjeta_visa_transacciones	0.0240578931631082	0.0293262759701257	0.0141935483870968
mcaja_ahorro	0.0237221514639099	0.0211311580586635	0.0425806451612903
cproductos	0.0220562588328331	0.0524894958183172	0.0206451612903226
mpayroll	0.0196193381516597	0.0672472285523362	0.0335483870967742
Visa_msaldototal	0.0185426532224333	0.0250120414950873	0.0283870967741936
mrentabilidad_annual	0.0178208166135755	0.0327143148151321	0.0245161290322581
mactivos_margen	0.0133853226441503	0.0380827750458338	0.0438709677419355
Visa_status	0.0130441324086849	0.0174980057761101	0.00774193548387097
mcomisiones_mantenimiento	0.0105040490212578	0.0492575680558649	0.0232258064516129
ctarjeta_master	0.0104003416362895	0.00580014544983789	0.00258064516129032
Visa_fechaalta	0.00742731884776982	0.0262061960869425	0.0438709677419355
cprestamos_personales	0.00710314876292491	0.014935023521371	0.0141935483870968
Master_fechaalta	0.00692060049824654	0.019773991132129	0.0309677419354839
Visa_cconsumos	0.00679987872256769	0.00998896751556827	0.0232258064516129
ccallcenter_transacciones	0.00600329688221832	0.0123334894444159	0.00903225806451613
mpasivos_margen	0.00595160802592232	0.014582583714568	0.0258064516129032
thomebanking	0.00555055504728843	0.00180741413414511	0.00645161290322581
cliente_edad	0.00525309063825477	0.0216147216558436	0.0335483870967742
cdescubierto_preacordado	0.00505665304918779	0.00657141986837171	0.00516129032258065
mrentabilidad	0.0047793399555874	0.00855207922827819	0.0180645161290323
Visa_mpagominimo	0.00473856587760143	0.0224288314323953	0.0270967741935484
Visa_mfinanciacion_limite	0.00425898139478842	0.013089295539221	0.0232258064516129
Master_mfinanciacion_limite	0.00408117168250758	0.0115515061863776	0.0245161290322581
mcuenta_corriente	0.004069987619545	0.00616400801877902	0.0180645161290323
mcomisiones	0.00383622327914847	0.0106493459516779	0.0180645161290323
mtarjeta_master_consumo	0.00341698818080132	0.0031574418343433	0.00516129032258065
ccomisiones_otras	0.00323623415993822	0.0405003550575231	0.032258064516129
Master_Fvencimiento	0.00322004377291574	0.0116519313035085	0.0206451612903226
numero_de_cliente	0.00263960439611535	0.0153895542647834	0.0270967741935484
Visa_mconsumototal	0.00255962542993718	0.0072375096855504	0.0180645161290323
mtransferencias_recibidas	0.00236593719532645	0.00968507444785223	0.0180645161290323
chomebanking_transacciones	0.00219737285857592	0.0172804973470635	0.0296774193548387
Master_mlimitecompra	0.00217778825767109	0.00268173138613315	0.00516129032258065
mttarjeta_visa_debitos_automaticos	0.00181180823196682	0.0033135529168975	0.00903225806451613
Visa_mlimitecompra	0.00164553549353862	0.0124146386504387	0.00903225806451613
Master_msaldototal	0.00153808363249324	0.00202968204741589	0.00516129032258065
cliente_antiguedad	0.00143547744068286	0.030180603388372	0.032258064516129
ccomisiones_mantenimiento	0.00129456822859574	0.00725274003506788	0.00516129032258065
Visa_Fvencimiento	0.00123705710723521	0.00411457411183265	0.0116129032258065
internet	0.000487219622114205	0.0040576982753533	0.00258064516129032
ctarjeta_master_transacciones	0.000459386602517505	0.00214700333354275	0.00387096774193548
Master_mpagominimo	0.000437594725156612	0.00196281129406568	0.00774193548387097
Master_fultimo_cierre	0.000359393974864656	0.00611427140863599	0.0116129032258065
Master_cconsumos	0.000244465370888952	0.00156277664502053	0.00645161290322581
Master_mconsumototal	0.000202054168130591	0.00182573814840833	0.00258064516129032
Visa_fultimo_cierre	0.000110732633593625	0.000230359036451938	0.00129032258064516
Master_status	6.45866297929119e-05	0.00557549779445501	0.00129032258064516
