rank	iteracion_bayesiana	semilla	isem	archivo
1	32	553733	1	modelo_01_032_s553733.model
1	32	919613	2	modelo_01_032_s919613.model
1	32	969851	3	modelo_01_032_s969851.model
1	32	644867	4	modelo_01_032_s644867.model
1	32	831709	5	modelo_01_032_s831709.model
1	32	887867	6	modelo_01_032_s887867.model
1	32	485311	7	modelo_01_032_s485311.model
1	32	677717	8	modelo_01_032_s677717.model
1	32	795121	9	modelo_01_032_s795121.model
1	32	964519	10	modelo_01_032_s964519.model
1	32	320291	11	modelo_01_032_s320291.model
1	32	268693	12	modelo_01_032_s268693.model
1	32	410239	13	modelo_01_032_s410239.model
1	32	978337	14	modelo_01_032_s978337.model
1	32	432167	15	modelo_01_032_s432167.model
1	32	824233	16	modelo_01_032_s824233.model
1	32	299029	17	modelo_01_032_s299029.model
1	32	446609	18	modelo_01_032_s446609.model
1	32	254977	19	modelo_01_032_s254977.model
1	32	417113	20	modelo_01_032_s417113.model
