fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241028.132924	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	19	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.171741194241254	0.724629512364729	632	434	1938	1	12366149.6259352	12366149.6259352	1
20241028.132944	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	14	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.0940941754458678	0.691770377694219	505	1016	3357	1	11782167.0822943	11782167.0822943	2
20241028.133003	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.153865995428438	0.563425894964623	1426	917	2235	1	11449413.9650873	11449413.9650873	3
20241028.133022	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	43	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.041453170509138	0.618930397016817	810	1768	2666	1	11505142.1446384	11505142.1446384	4
20241028.133042	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	14	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.0781292770147299	0.836863913204915	689	772	2684	1	11437975.0623441	11437975.0623441	5
20241028.133059	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.254998133672544	0.57553510007246	1251	1434	2729	1	11937688.2793017	11937688.2793017	6
20241028.133118	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.211231482280686	0.873641469223058	1645	689	2064	1	12075231.9201995	12075231.9201995	7
20241028.133145	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	80	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.213453955803631	0.510933557181661	1796	137	2252	1	11735371.5710723	11735371.5710723	8
20241028.133159	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.246609049694888	0.808899805450616	1053	1879	2573	1	11639902.7431421	11639902.7431421	9
20241028.133215	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.135646478971342	0.643191619015731	249	1630	2967	1	11744386.5336658	11744386.5336658	10
20241028.133235	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.193163252954943	0.655417533242574	919	517	2657	1	12158476.3092269	12158476.3092269	11
20241028.133251	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.292385012492557	0.791267343100302	1769	1346	2288	1	12034952.6184539	12034952.6184539	12
20241028.133329	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	71	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.0584201274949327	0.728229785738931	1941	180	2248	1	11767421.446384	11767421.446384	13
20241028.133350	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	22	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.0342303296981632	0.769622989163404	67	358	3093	1	11624940.1496259	11624940.1496259	14
20241028.133406	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.269567076839146	0.897975463694636	331	1244	2751	1	11444655.8603491	11444655.8603491	15
20241028.133424	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.11990425670405	0.538382714721049	1362	1562	2146	1	11405790.5236908	11405790.5236908	16
20241028.133451	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.207521786918893	0.738574410121656	1538	269	2671	1	11677174.563591	11677174.563591	17
20241028.133515	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.180801413773964	0.697630868782935	645	377	2059	1	11868486.2842893	11868486.2842893	18
20241028.133536	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.178055551275011	0.729670573139092	657	489	2856	1	11392698.2543641	11392698.2543641	19
20241028.133605	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.0969625325298884	0.782637183898812	1366	342	2506	1	11506937.6558603	11506937.6558603	20
20241028.133621	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	30	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.126882223131355	0.71675575014837	1695	1960	3018	1	11483655.8603491	11483655.8603491	21
20241028.133639	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.112324474781549	0.533390892659245	564	1700	2648	1	11661187.032419	11661187.032419	22
