Feature	Gain	Cover	Frequency
rf_011_000	0.222286832125958	0.00734438355246515	0.000773993808049536
ctrx_quarter_normalizado	0.116247328834947	0.0250416713804406	0.00696594427244582
ctrx_quarter_normalizado_lag1	0.0529879938242281	0.00895248855706078	0.00309597523219814
mprestamos_personales_rank	0.0372322599161965	0.0222395047114272	0.0108359133126935
rf_015_002	0.0280567490584499	0.0010878500189603	0.000773993808049536
mcuentas_saldo_rank	0.0265552884755117	0.0112453248668288	0.00773993808049536
rf_018_006	0.026470947422184	0.0236794918543558	0.00464396284829721
cpayroll_trx	0.0263305115145279	0.00724059960176095	0.00386996904024768
ctrx_quarter	0.0261494832334026	0.0144844765914389	0.0162538699690403
rf_003_008	0.0174238477305249	0.0251960727667515	0.00386996904024768
cproductos_tend6	0.016564138304408	0.0029542617453086	0.00386996904024768
rf_009_000	0.0165148623015414	0.000274936430812884	0.000773993808049536
rf_012_003	0.0135453485526435	0.00598159710269197	0.000773993808049536
rf_002_014	0.0132229455420991	0.0103263210179615	0.00464396284829721
rf_005_015	0.0115243691851313	0.0146887671049303	0.00154798761609907
foto_mes	0.0114260098412823	0.00203817113014532	0.00541795665634675
mtarjeta_visa_consumo_rank	0.010851942978417	0.00501306828085709	0.00386996904024768
rf_011_003	0.00770557768082099	0.00593425705500234	0.000773993808049536
rf_017_011	0.00722654583899167	0.00954071899578892	0.00386996904024768
cproductos	0.00673693977931695	0.0458862226866133	0.0208978328173375
cdescubierto_preacordado_tend6	0.00650078005423143	0.00469431195974688	0.00154798761609907
mcuentas_saldo_rank_tend6	0.00646966846333843	0.00445882556867536	0.00928792569659443
rf_013_012	0.00586428218425476	0.000711435947458859	0.000773993808049536
vm_msaldototal_rank	0.00584240855224465	0.00153175400460388	0.00464396284829721
vm_status01	0.00555583113021147	0.0065673998466668	0.00232198142414861
rf_002_006	0.00540113987743775	0.00583872726645941	0.000773993808049536
mrentabilidad_annual_rank_lag1	0.00513412731081219	0.0103516904281337	0.0123839009287926
ccallcenter_transacciones	0.00463143143758507	0.00316061579934035	0.00232198142414861
rf_011_009	0.00453569498754089	0.00578677459873847	0.000773993808049536
mrentabilidad_annual_rank	0.00447723042370696	0.00308717803305258	0.00541795665634675
mcaja_ahorro_rank	0.00442866710129795	0.00626709400568178	0.010061919504644
rf_006_008	0.00436778119971432	0.0153554120841905	0.00309597523219814
mactivos_margen_rank	0.00418009716951026	0.00573919178157351	0.00541795665634675
ctrx_quarter_tend6	0.00415736824061944	0.00996253095917734	0.00851393188854489
vmr_msaldototal_tend6	0.00411483255279266	0.00510022252250109	0.00541795665634675
vm_status05	0.00401886816297031	0.000117500426060429	0.000773993808049536
rf_010_009	0.0039533632606006	0.009964108960767	0.00309597523219814
ctarjeta_visa_transacciones	0.00387163818467417	0.00562618259080671	0.00696594427244582
ccomisiones_otras	0.00385020798134532	0.0181698386117082	0.010061919504644
rf_015_014	0.00376680048583715	0.00688421401197436	0.00386996904024768
kmes_tend6	0.0036461177426638	0.00206997393141374	0.00309597523219814
ccomisiones_mantenimiento_tend6	0.00357180022561922	0.00235012990594625	0.00309597523219814
mactivos_margen_rank_tend6	0.00355840111558273	0.00269911102673523	0.00851393188854489
numero_de_cliente	0.00344082107534509	0.0134206607505364	0.0170278637770898
mprestamos_personales_rank_tend6	0.00339983740685565	0.00361495887242318	0.00386996904024768
rf_010_006	0.00330838311968705	0.00567097355900536	0.000773993808049536
mv_status07_rank	0.0031396448983768	0.000113251960242129	0.000773993808049536
Visa_fechaalta_lag1	0.0031019208227484	0.000729400888633388	0.00154798761609907
mcuentas_saldo_rank_delta1	0.00302288113996872	0.0234253122136838	0.0224458204334365
Visa_mfinanciacion_limite_rank	0.00289419019367257	0.00236020483917251	0.00386996904024768
mprestamos_personales_rank_delta1	0.00286786990825952	0.00654773551916495	0.00232198142414861
ccomisiones_mantenimiento_delta1	0.0026031205913344	0.00458433738742173	0.00232198142414861
rf_009_004	0.00258535708751786	0.00567704279588865	0.000773993808049536
Visa_status	0.00253789477912099	0.00396697461165381	0.000773993808049536
mrentabilidad_annual_rank_tend6	0.00251260816396484	0.00304129460221493	0.00928792569659443
cprestamos_personales_tend6	0.00250182646348079	0.00133741703960104	0.000773993808049536
mtransferencias_recibidas_rank	0.00250142114765282	0.00393893473725303	0.00541795665634675
mttarjeta_visa_debitos_automaticos_rank_tend6	0.00242886431415177	0.00553332326649242	0.00386996904024768
vm_mpagominimo_rank_lag1	0.00232612400009498	0.00484847057658236	0.00386996904024768
mcomisiones_mantenimiento_rank_tend6	0.00231408905861632	0.00674971972264073	0.00464396284829721
mcomisiones_rank_tend6	0.00228344735531158	0.00379387997574247	0.00619195046439629
mcomisiones_mantenimiento_rank	0.00222643249407653	0.0131883303626442	0.00464396284829721
Master_fechaalta_lag1	0.00220126414794934	0.00622788673541575	0.00928792569659443
mcomisiones_rank_lag1	0.00217331962661526	0.00472854245576862	0.00773993808049536
mrentabilidad_annual_rank_delta1	0.00215524682222959	0.00167073952923114	0.00464396284829721
mcomisiones_rank	0.00214654459024199	0.00644747172585306	0.0108359133126935
mcaja_ahorro_rank_lag1	0.0020626606627603	0.00860144389573148	0.00928792569659443
rf_018_010	0.0020523631360231	0.0022915010776537	0.00154798761609907
kmes_lag1	0.00204274566474263	0.00152592753719593	0.00154798761609907
mcomisiones_mantenimiento_rank_lag1	0.0019892675898754	0.00121991661354061	0.00309597523219814
Visa_cconsumos_tend6	0.00197768382792901	0.00329753778342729	0.00928792569659443
mcuenta_corriente_rank_tend6	0.00196444726496228	0.00176238500616877	0.00619195046439629
Visa_mconsumototal_rank_tend6	0.00194985878189031	0.0102207162961924	0.0147058823529412
cliente_edad_lag1	0.00192398263837204	0.0035387292571691	0.00619195046439629
Visa_fechaalta	0.0018394405507715	0.00196983152283951	0.00541795665634675
mcaja_ahorro_rank_tend6	0.00179711086049868	0.0062556838403412	0.00928792569659443
Visa_fechaalta_tend6	0.00173755010305141	0.00584418957965436	0.00773993808049536
mactivos_margen_rank_lag1	0.00173399795577601	0.002988977780281	0.00541795665634675
mcomisiones_mantenimiento_rank_delta1	0.0016998358361604	0.00341200359104608	0.00309597523219814
thomebanking	0.00168532761830167	0.000929685705781846	0.00154798761609907
rf_015_006	0.00165964996351559	0.00557872115837941	0.000773993808049536
Master_Fvencimiento_tend6	0.00162540721158456	0.00235182929227357	0.00464396284829721
vm_mconsumototal_rank_tend6	0.00161826828067276	0.00445360602495573	0.00541795665634675
ctarjeta_visa_transacciones_tend6	0.00158810024143025	0.00101878210322849	0.00309597523219814
Master_fechaalta	0.0015401185102714	0.00747936338074945	0.00696594427244582
mcuenta_corriente_rank_lag1	0.00152751832818154	0.00298958470396933	0.00464396284829721
Visa_mlimitecompra_rank_delta1	0.0015254560744939	0.00585147266391431	0.00851393188854489
vm_Fvencimiento	0.00148465917159647	0.00439473442718785	0.00541795665634675
rf_009_006	0.00148244240931391	0.000486874182777254	0.000773993808049536
