fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241029.224425	1	32	1	553733	1600	4.949	4.949
20241029.224515	1	32	1	553733	1800	5.549	5.549
20241029.224559	1	32	1	553733	2000	5.339	5.339
20241029.224642	1	32	1	553733	2200	5.989	5.989
20241029.224723	1	32	1	553733	2400	5.429	5.429
20241029.224805	1	32	1	919613	1600	7.729	7.729
20241029.224845	1	32	1	919613	1800	7.939	7.939
20241029.224926	1	32	1	919613	2000	7.749	7.749
20241029.225008	1	32	1	919613	2200	7.649	7.649
20241029.225049	1	32	1	919613	2400	6.979	6.979
20241029.225133	1	32	1	969851	1600	4.139	4.139
20241029.225213	1	32	1	969851	1800	3.949	3.949
20241029.225253	1	32	1	969851	2000	3.769	3.769
20241029.225334	1	32	1	969851	2200	3.109	3.109
20241029.225416	1	32	1	969851	2400	3.759	3.759
20241029.225458	1	32	1	644867	1600	5.379	5.379
20241029.225538	1	32	1	644867	1800	5.129	5.129
20241029.225619	1	32	1	644867	2000	4.909	4.909
20241029.225659	1	32	1	644867	2200	4.309	4.309
20241029.225739	1	32	1	644867	2400	3.769	3.769
20241029.225820	1	32	1	831709	1600	5.399	5.399
20241029.225901	1	32	1	831709	1800	6.009	6.009
20241029.225941	1	32	1	831709	2000	5.479	5.479
20241029.230021	1	32	1	831709	2200	5.339	5.339
20241029.230101	1	32	1	831709	2400	4.659	4.659
20241029.230145	1	32	1	887867	1600	6.459	6.459
20241029.230225	1	32	1	887867	1800	6.949	6.949
20241029.230305	1	32	1	887867	2000	6.859	6.859
20241029.230346	1	32	1	887867	2200	6.659	6.659
20241029.230429	1	32	1	887867	2400	6.409	6.409
20241029.230512	1	32	1	485311	1600	5.339	5.339
20241029.230554	1	32	1	485311	1800	4.779	4.779
20241029.230635	1	32	1	485311	2000	5.079	5.079
20241029.230717	1	32	1	485311	2200	5.299	5.299
20241029.230758	1	32	1	485311	2400	5.479	5.479
20241029.230843	1	32	1	677717	1600	4.099	4.099
20241029.230925	1	32	1	677717	1800	4.359	4.359
20241029.231008	1	32	1	677717	2000	4.619	4.619
20241029.231049	1	32	1	677717	2200	4.799	4.799
20241029.231130	1	32	1	677717	2400	5.719	5.719
20241029.231212	1	32	1	795121	1600	5.729	5.729
20241029.231253	1	32	1	795121	1800	5.639	5.639
20241029.231334	1	32	1	795121	2000	5.339	5.339
20241029.231415	1	32	1	795121	2200	4.699	4.699
20241029.231455	1	32	1	795121	2400	5.239	5.239
20241029.231537	1	32	1	964519	1600	5.789	5.789
20241029.231618	1	32	1	964519	1800	6.029	6.029
20241029.231659	1	32	1	964519	2000	5.799	5.799
20241029.231739	1	32	1	964519	2200	5.579	5.579
20241029.231820	1	32	1	964519	2400	6.009	6.009
20241029.231901	1	32	1	320291	1600	6.729	6.729
20241029.231942	1	32	1	320291	1800	6.259	6.259
20241029.232023	1	32	1	320291	2000	5.989	5.989
20241029.232104	1	32	1	320291	2200	5.739	5.739
20241029.232144	1	32	1	320291	2400	5.449	5.449
20241029.232225	1	32	1	268693	1600	5.479	5.479
20241029.232305	1	32	1	268693	1800	5.749	5.749
20241029.232346	1	32	1	268693	2000	5.559	5.559
20241029.232425	1	32	1	268693	2200	4.999	4.999
20241029.232506	1	32	1	268693	2400	4.859	4.859
20241029.232547	1	32	1	410239	1600	5.479	5.479
20241029.232628	1	32	1	410239	1800	5.779	5.779
20241029.232708	1	32	1	410239	2000	5.989	5.989
20241029.232748	1	32	1	410239	2200	5.739	5.739
20241029.232829	1	32	1	410239	2400	5.129	5.129
20241029.232911	1	32	1	978337	1600	3.729	3.729
20241029.232951	1	32	1	978337	1800	3.469	3.469
20241029.233032	1	32	1	978337	2000	3.589	3.589
20241029.233112	1	32	1	978337	2200	3.099	3.099
20241029.233153	1	32	1	978337	2400	2.929	2.929
20241029.233235	1	32	1	432167	1600	5.329	5.329
20241029.233316	1	32	1	432167	1800	5.929	5.929
20241029.233356	1	32	1	432167	2000	6.139	6.139
20241029.233437	1	32	1	432167	2200	5.939	5.939
20241029.233520	1	32	1	432167	2400	5.749	5.749
20241029.233606	1	32	1	824233	1600	5.299	5.299
20241029.233650	1	32	1	824233	1800	4.769	4.769
20241029.233735	1	32	1	824233	2000	4.179	4.179
20241029.233816	1	32	1	824233	2200	4.349	4.349
20241029.233857	1	32	1	824233	2400	4.139	4.139
20241029.233939	1	32	1	299029	1600	5.889	5.889
20241029.234020	1	32	1	299029	1800	6.039	6.039
20241029.234101	1	32	1	299029	2000	5.719	5.719
20241029.234142	1	32	1	299029	2200	5.089	5.089
20241029.234222	1	32	1	299029	2400	4.909	4.909
20241029.234305	1	32	1	446609	1600	6.129	6.129
20241029.234345	1	32	1	446609	1800	6.369	6.369
20241029.234433	1	32	1	446609	2000	5.669	5.669
20241029.234517	1	32	1	446609	2200	5.569	5.569
20241029.234603	1	32	1	446609	2400	5.079	5.079
20241029.234647	1	32	1	254977	1600	6.709	6.709
20241029.234728	1	32	1	254977	1800	6.949	6.949
20241029.234808	1	32	1	254977	2000	6.779	6.779
20241029.234851	1	32	1	254977	2200	6.969	6.969
20241029.234931	1	32	1	254977	2400	6.669	6.669
20241029.235013	1	32	1	417113	1600	6.659	6.659
20241029.235053	1	32	1	417113	1800	6.369	6.369
20241029.235134	1	32	1	417113	2000	6.179	6.179
20241029.235214	1	32	1	417113	2200	6.039	6.039
20241029.235255	1	32	1	417113	2400	5.859	5.859
20241029.235303	1	32	20	-1	1600	5.622	5.622
20241029.235308	1	32	20	-1	1800	5.7005	5.7005
20241029.235313	1	32	20	-1	2000	5.5365	5.5365
20241029.235317	1	32	20	-1	2200	5.348	5.348
20241029.235322	1	32	20	-1	2400	5.211	5.211
