Feature	Gain	Cover	Frequency
mcaja_ahorro	0.222650518228157	0.04854059875742	0.0424063116370809
Visa_mpagominimo	0.149893865642639	0.0530915673888045	0.0522682445759369
PC5	0.104533746706284	0.0209504160359157	0.0157790927021696
PC3	0.0750807190144438	0.0167313685482957	0.0167652859960552
PC1	0.0665017004375579	0.0316897861475796	0.0207100591715976
cpayroll_trx	0.0519835815767328	0.0447175101427959	0.00591715976331361
mpayroll	0.0314158162936394	0.0522839373993208	0.00788954635108481
mcuentas_saldo	0.0197781985114332	0.0244030264882066	0.0345167652859961
Visa_msaldototal	0.0146037874660173	0.0260988634000809	0.0177514792899408
PC12	0.0142210487459025	0.00802435645829286	0.019723865877712
Visa_fechaalta	0.0135866759562537	0.00621584622137859	0.0118343195266272
mrentabilidad_annual	0.0135410416043216	0.00892383071318752	0.0128205128205128
mpasivos_margen	0.0132985417638083	0.030812639817647	0.0256410256410256
PC16	0.0126536646894979	0.00962085477809066	0.0108481262327416
mactivos_margen	0.0107836362649875	0.0281871962891816	0.0305719921104537
foto_mes	0.0106892585226984	0.0217615606061804	0.0157790927021696
PC4	0.0104724037889111	0.00242433714877257	0.0029585798816568
mcuenta_corriente	0.0104713736224475	0.0313047328120073	0.0315581854043393
ccomisiones_otras	0.00894818235994092	0.0359164313318881	0.0276134122287968
mcomisiones_mantenimiento	0.00800477601912212	0.0295894106508027	0.0138067061143984
PC22	0.0077307799893526	0.0216932847060071	0.019723865877712
Visa_mconsumototal	0.00648334728957178	0.00827389169374832	0.0138067061143984
PC7	0.00644055040897276	0.018012950093108	0.0256410256410256
Master_msaldototal	0.00617103520023829	0.0101976595062769	0.00788954635108481
ctarjeta_visa_transacciones	0.00606247480223786	0.0279857281144083	0.0157790927021696
Visa_status	0.00605061323512544	0.0074200036189845	0.000986193293885602
mprestamos_personales	0.00593116706594149	0.00320617631752459	0.0029585798816568
PC2	0.00568632112990575	0.00706601297531539	0.0187376725838264
PC21	0.00543617302508679	0.0232025387264162	0.0335305719921105
ctrx_quarter	0.00531767045986746	0.0131494421972663	0.0108481262327416
PC19	0.00500002914286025	0.00615723541835321	0.0138067061143984
PC15	0.00454276447139297	0.0130180588980683	0.014792899408284
ccomisiones_mantenimiento	0.00380115130828059	0.0248094774185342	0.00493096646942801
PC23	0.00366704879316672	0.017482093340133	0.02465483234714
mtransferencias_recibidas	0.0033549243423082	0.00798275002404645	0.0138067061143984
ccallcenter_transacciones	0.00303012060891735	0.00475186827103145	0.0019723865877712
mrentabilidad	0.0029432136050637	0.00370152546760851	0.0108481262327416
Visa_cconsumos	0.00291201795078758	0.0141436550782152	0.0187376725838264
numero_de_cliente	0.00275523509217445	0.00823373243982353	0.0157790927021696
chomebanking_transacciones	0.00264797431955224	0.00721021415736194	0.014792899408284
cprestamos_personales	0.00262126189809052	0.00356921183820379	0.00493096646942801
PC8	0.00258311976195708	0.00654668197990187	0.00788954635108481
Visa_mlimitecompra	0.00214674532055337	0.0159124195412966	0.0128205128205128
PC18	0.00214431716871583	0.00460906258429502	0.0118343195266272
Visa_Fvencimiento	0.00207417965086226	0.00410859661807397	0.0118343195266272
ctarjeta_visa	0.00200540617656424	0.00921683304330289	0.0019723865877712
Master_fechaalta	0.00196806792738391	0.00999412393104413	0.0236686390532544
PC11	0.00191035986270555	0.00424556189851245	0.00788954635108481
PC17	0.00188479214791706	0.00455634387257908	0.0138067061143984
PC6	0.00175907535074351	0.0156324935190872	0.0276134122287968
cliente_edad	0.0017439340070357	0.00884945598165885	0.0118343195266272
PC10	0.00165120615264602	0.0106046789717308	0.0177514792899408
Visa_fultimo_cierre	0.0016383332046514	0.00176886783310434	0.00493096646942801
Master_mlimitecompra	0.00161798497896927	0.00756492839119186	0.0138067061143984
mcomisiones	0.00147697844359608	0.00641845146640456	0.0128205128205128
PC9	0.00129744372480801	0.0100631751063897	0.014792899408284
Master_mpagominimo	0.00129656479637684	0.00642734128838019	0.00690335305719921
cliente_antiguedad	0.00120703315942201	0.00968024085628833	0.0138067061143984
mtarjeta_visa_consumo	0.00118364366431261	0.0104393386199864	0.00394477317554241
PC13	0.0010945231823657	0.00739441953829883	0.0118343195266272
cproductos	0.00108762906217698	0.0352264881135586	0.0138067061143984
PC14	0.00107855258263204	0.00377331594856287	0.00690335305719921
Master_mfinanciacion_limite	0.00102896180821342	0.00183740215833507	0.00493096646942801
Visa_mfinanciacion_limite	0.000592585924246006	0.000870065483359003	0.00394477317554241
Master_Fvencimiento	0.000537263237540014	0.00984175651718276	0.00887573964497041
Master_fultimo_cierre	0.000521209677223612	0.00286107549583111	0.00690335305719921
mttarjeta_visa_debitos_automaticos	0.000351764443698377	0.00219785342843996	0.00493096646942801
Master_mconsumototal	0.000286066650439102	0.0018181753340622	0.00493096646942801
Master_cconsumos	0.000117032470173963	0.000178726769719344	0.000986193293885602
Master_status	1.2226657594677e-05	0.00164880355142186	0.000986193293885602
mtarjeta_master_consumo	4.58726851787097e-06	0.000351923243209662	0.000986193293885602
ctarjeta_master	1.57108483972162e-10	0.00144046127012091	0.000986193293885602
thomebanking	2.46457117201194e-11	0.000536438734215462	0.000986193293885602
ctarjeta_master_transacciones	5.13045916767428e-13	0.000828717474170028	0.0019723865877712
