Feature	Gain	Cover	Frequency
ctrx_quarter	0.416614356007676	0.0976847311829826	0.0254237288135593
mcaja_ahorro	0.192940960500075	0.0730643345541064	0.0423728813559322
mtarjeta_visa_consumo	0.0721904019135205	0.0882354346880598	0.0423728813559322
PC10	0.0404825417477437	0.0301119203735574	0.0402542372881356
mprestamos_personales	0.0377566662397161	0.0195316454541228	0.0169491525423729
mpayroll	0.0251831554336363	0.0611818920056814	0.0211864406779661
mrentabilidad_annual	0.0208953030220532	0.0114588144408956	0.0317796610169492
mcuentas_saldo	0.0183588173598334	0.025477646122369	0.0211864406779661
cpayroll_trx	0.0168918773714477	0.0238904528128255	0.00635593220338983
foto_mes	0.0163998665870976	0.0307645249043361	0.0338983050847458
Visa_msaldototal	0.016154799029042	0.017560797150786	0.0275423728813559
PC9	0.0127107616068412	0.0127505543010853	0.0169491525423729
PC3	0.0125013145620227	0.0493337741962254	0.0338983050847458
Master_fechaalta	0.00720600361492594	0.00883014772237977	0.0317796610169492
mactivos_margen	0.00612553187325252	0.0210223819022597	0.0444915254237288
mcomisiones_mantenimiento	0.00555373140189876	0.0278199836892316	0.010593220338983
cproductos	0.00549886590496314	0.0643388990101006	0.0233050847457627
mcomisiones	0.00540135243347568	0.0149260475671364	0.0211864406779661
PC7	0.00450982216752218	0.00611154149795768	0.0169491525423729
mpasivos_margen	0.0042792759123387	0.0106237239561043	0.0127118644067797
cliente_edad	0.0040621259594922	0.0225474430893655	0.0360169491525424
PC1	0.00385971861893687	0.0137933311811577	0.0190677966101695
Visa_mpagominimo	0.00347717413674586	0.00427712316976364	0.010593220338983
PC2	0.00343870460072714	0.000887663819161634	0.00423728813559322
mtransferencias_recibidas	0.00341482072754246	0.00422020493172636	0.0148305084745763
PC5	0.00333853012343858	0.0135660927193753	0.0169491525423729
PC18	0.00321045405180582	0.0164511087542423	0.0317796610169492
Master_mfinanciacion_limite	0.00317091069383393	0.0119350158827954	0.0233050847457627
PC4	0.0029646331168009	0.006725910876467	0.00847457627118644
PC11	0.00286151935430227	0.0110729869952688	0.0169491525423729
ccomisiones_otras	0.00283379296670035	0.0474767623689631	0.0275423728813559
mrentabilidad	0.00250227568924586	0.0041176652051859	0.010593220338983
Visa_mfinanciacion_limite	0.00218712425408363	0.00556669057811985	0.00847457627118644
numero_de_cliente	0.0021351451154675	0.0143273198418281	0.0317796610169492
Master_msaldototal	0.00159498694483242	0.001372989558762	0.00635593220338983
PC13	0.00158516051673437	0.00532207250166953	0.0127118644067797
PC12	0.00158507556480192	0.000410158906161812	0.00211864406779661
Master_mlimitecompra	0.00152978132678174	0.00321001482915622	0.0127118644067797
PC14	0.00152311457747636	0.0088544791829148	0.0233050847457627
PC6	0.00147067473920272	0.0118559386360565	0.010593220338983
mtarjeta_master_consumo	0.00144485654878128	0.00395560029840798	0.00847457627118644
ccomisiones_mantenimiento	0.00120801904961101	0.000928505913631136	0.00423728813559322
PC16	0.00104806314150004	0.00269557823498716	0.00847457627118644
Visa_cconsumos	0.000914577944737167	0.00207556048171078	0.00635593220338983
Master_Fvencimiento	0.000881878551815573	0.00373096877882572	0.010593220338983
Visa_mlimitecompra	0.000777680365094673	0.00976169506857779	0.00635593220338983
PC19	0.000702245118022779	0.0020182077533068	0.00635593220338983
cliente_antiguedad	0.000572143391815095	0.0155043542452099	0.0211864406779661
Visa_Fvencimiento	0.000318763006217752	0.0021959143132858	0.00423728813559322
PC23	0.000286990671833483	0.0195690116256587	0.0190677966101695
chomebanking_transacciones	0.000276849485992406	0.00399383545067731	0.010593220338983
ctarjeta_visa_transacciones	0.000253547562237441	0.00552584848365035	0.00423728813559322
PC20	0.000217097950671564	0.000454911413931586	0.00211864406779661
mttarjeta_visa_debitos_automaticos	0.000172473294043259	0.00448350609394464	0.00635593220338983
PC15	0.000137510336764745	0.0105472536515657	0.010593220338983
Master_status	0.000117116383637259	0.00213465117158155	0.00211864406779661
Master_fultimo_cierre	0.000116939188801447	0.000770351420153488	0.00423728813559322
PC21	9.46699686074109e-05	0.00501575679314826	0.00635593220338983
Visa_mconsumototal	3.88304041767145e-05	0.00119962790244996	0.00423728813559322
Master_cconsumos	1.86198676038946e-05	0.000728640344950592	0.00423728813559322
