rank	iteracion_bayesiana	semilla	isem	archivo
1	32	968467	1	modelo_01_032_s968467.model
1	32	541129	2	modelo_01_032_s541129.model
1	32	561529	3	modelo_01_032_s561529.model
1	32	180539	4	modelo_01_032_s180539.model
1	32	186551	5	modelo_01_032_s186551.model
1	32	643043	6	modelo_01_032_s643043.model
1	32	934469	7	modelo_01_032_s934469.model
1	32	433549	8	modelo_01_032_s433549.model
1	32	596693	9	modelo_01_032_s596693.model
1	32	205453	10	modelo_01_032_s205453.model
1	32	217979	11	modelo_01_032_s217979.model
1	32	808937	12	modelo_01_032_s808937.model
1	32	628757	13	modelo_01_032_s628757.model
1	32	137353	14	modelo_01_032_s137353.model
1	32	564391	15	modelo_01_032_s564391.model
1	32	291077	16	modelo_01_032_s291077.model
1	32	340451	17	modelo_01_032_s340451.model
1	32	692641	18	modelo_01_032_s692641.model
1	32	974747	19	modelo_01_032_s974747.model
1	32	578999	20	modelo_01_032_s578999.model
