Feature	Gain	Cover	Frequency
PC3	0.253166067897831	0.13571512024037	0.0833632770391664
PC1	0.17854943598572	0.0972621408634983	0.0671936758893281
Visa_msaldototal	0.175304900864204	0.0445635539154396	0.0312612288896874
PC11	0.0367119591444419	0.0610112883970449	0.0517427236794826
PC18	0.0331363542970029	0.0395125229621906	0.0319798778296802
PC12	0.0308531676600245	0.0376141120400669	0.0366510959396335
PC4	0.0283037333125662	0.0253284655220403	0.0240747394897593
foto_mes	0.0223435839468244	0.0378472356651505	0.0337765001796622
PC19	0.0205322954385945	0.0321257060273603	0.034495149119655
PC7	0.0195491603441469	0.0286395249188324	0.034495149119655
Master_fechaalta	0.0145249051498984	0.0211201076552139	0.0316205533596838
PC5	0.0144236187395462	0.0242382184078501	0.0280273086597197
Visa_fechaalta	0.0134284829432124	0.0305859226237307	0.0373697448796263
PC6	0.0120244790604899	0.0320630113099725	0.0337765001796622
Visa_mpagominimo	0.0106103635922519	0.0211098636073705	0.0244340639597557
PC23	0.0105590363475727	0.0269702029549042	0.0373697448796263
PC9	0.010371797190801	0.0163448361686311	0.0237154150197628
PC8	0.0100937804491838	0.0240365709074249	0.0265900107797341
Master_Fvencimiento	0.00840700644147256	0.0195341688069716	0.0219187926697808
PC15	0.00743663220010512	0.0351713930786234	0.029105282069709
PC20	0.00712464247033794	0.0130235041093368	0.0197628458498024
PC2	0.00699649135670591	0.0155225939485777	0.0172475745598275
Master_mfinanciacion_limite	0.00647634279565605	0.00858597144033859	0.0154509522098455
PC14	0.00605308551790602	0.0166460626816119	0.0150916277398491
PC13	0.00573178236425328	0.0160115040084988	0.0190441969098096
PC21	0.00569429378782161	0.0117385628568051	0.0168882500898311
Master_mpagominimo	0.00552738160538859	0.0136251845395113	0.00934243621990658
numero_de_cliente	0.00481357836079536	0.0126148295526359	0.0215594681997844
PC17	0.00457709496224196	0.00764781123756597	0.0147323032698527
Visa_mconsumototal	0.00447699038874709	0.00957518019437537	0.0190441969098096
Visa_mfinanciacion_limite	0.00444727833449505	0.00995529732161357	0.0132950053898671
Visa_mlimitecompra	0.00421994896696332	0.0135375378396671	0.0111390585698886
PC16	0.00419066883297433	0.0118729372944377	0.0118577075098814
Visa_cconsumos	0.00386427978713914	0.00945316728933595	0.0125763564498742
Visa_Fvencimiento	0.00369442735735298	0.0102027568907461	0.0147323032698527
Master_mlimitecompra	0.00282157152357269	0.00598381160017092	0.00754581386992454
PC22	0.00242551770105779	0.00834806916723874	0.00826446280991736
Master_msaldototal	0.00220990601194703	0.00330464971322532	0.00574919151994251
PC10	0.00204899486941811	0.00561871716879241	0.0104204096298958
Master_fultimo_cierre	0.000834102700458059	0.00192673943431624	0.00467121810995329
Visa_fultimo_cierre	0.000696188007340537	0.00179199300611956	0.00395256916996047
Master_cconsumos	0.000644563795505631	0.00147428444968131	0.00323392022996766
Master_status	5.0315621941291e-05	0.000170400293036998	0.000359324469996407
Master_mconsumototal	4.97918740904671e-05	0.000574467889674352	0.00107797340998922
