Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.13660651062362	0.00279009765627284	0.00289440203562341
ctrx_quarter	0.0270690491373383	0.00412402480994264	0.00610687022900763
rf_006_000	0.0251503096585763	6.55631937914653e-05	0.000127226463104326
PC15	0.0194739674531759	0.00308787709590232	0.00559796437659033
rf_015_001	0.0139087788287284	0.000393456024640693	0.00022264631043257
mprestamos_personales_rank	0.0132529340324039	0.0133675951438635	0.00241730279898219
cpayroll_trx	0.012104428788069	0.00323978913510931	0.000636132315521629
PC3	0.0108023502745292	0.00316800012807387	0.00512086513994911
mcuentas_saldo_rank_tend6	0.0105634961035286	0.00558006354930242	0.00722010178117048
rf_002_003	0.0105270321166577	0.0010431421462033	0.000254452926208651
mcuentas_saldo_rank	0.00960341240542193	0.00876480858954042	0.0061704834605598
PC4	0.00814788875136701	0.00295838676858985	0.00518447837150127
ccomisiones_mantenimiento_tend6	0.00760657818482036	0.00357995790812214	0.00203562340966921
PC2	0.00722165781110715	0.00370206400367699	0.00524809160305344
Master_fechaalta	0.00650059776150552	0.00317931529658871	0.0039440203562341
PC8	0.00626055776092248	0.0052903491181874	0.00508905852417303
rf_008_003	0.00611567095619101	0.000419880045049194	0.000127226463104326
mrentabilidad_annual_rank_lag1	0.00596199352753841	0.00478985741893957	0.00486641221374046
mactivos_margen_rank	0.00572484541773217	0.00636731598696222	0.00442111959287532
mrentabilidad_annual_rank_tend6	0.00570899514668749	0.00582451181622295	0.00722010178117048
PC58	0.00557223974361206	0.00461658326391927	0.00639312977099237
PC47	0.00542516578822842	0.00528562760197063	0.00585241730279898
PC9	0.00521107973396827	0.00273532257802318	0.00461195928753181
mrentabilidad_annual_rank_delta1	0.00515556220411163	0.007535177533045	0.00722010178117048
Master_mfinanciacion_limite_rank_tend6	0.00507648929609908	0.00477340897407278	0.00715648854961832
cliente_edad_lag1	0.00503388084984726	0.00553350720335102	0.00591603053435115
mcomisiones_mantenimiento_rank_tend6	0.00501449935619962	0.00890946267009791	0.00601145038167939
PC19	0.00483736407034397	0.0056102592925492	0.007029262086514
cproductos_delta1	0.00482529959078388	0.00408967303439807	0.000826972010178117
numero_de_cliente	0.00481686427420033	0.00718740492286912	0.00896946564885496
mcaja_ahorro_rank	0.00480705777552653	0.00340355437607444	0.00540712468193384
mrentabilidad_annual_rank	0.00470869042158704	0.00442551009078877	0.00435750636132316
Visa_mconsumototal_rank_tend6	0.00470703696516818	0.00385364663477583	0.00473918575063613
cliente_edad	0.0045498627937234	0.00358432256555508	0.00562977099236641
mcomisiones_rank_tend6	0.00446209738486088	0.00677756633498326	0.00620229007633588
mtarjeta_visa_consumo_rank	0.00437239003976556	0.00318232389064312	0.00235368956743003
PC43	0.00435660318360485	0.00189345427603265	0.00486641221374046
PC57	0.0043110746446188	0.00676706370646852	0.00664758269720102
mcuentas_saldo_rank_delta1	0.0042895496337782	0.00499404652490944	0.00597964376590331
PC11	0.00426642752160639	0.00300177530656791	0.00454834605597964
rf_004_011	0.00422876593050615	0.0010910490653981	0.000349872773536896
internet_tend6	0.00412953168327309	0.0118159182504384	0.00499363867684478
PC61	0.00408211766385626	0.00447057311998324	0.00690203562340967
Visa_mfinanciacion_limite_rank_tend6	0.00405331328919272	0.0045511573235062	0.00620229007633588
cproductos	0.00403735063096649	0.00618235882437299	0.0039440203562341
Visa_mfinanciacion_limite_rank_delta1	0.0040260707988035	0.00572987835688754	0.00639312977099237
Master_mlimitecompra_rank_tend6	0.00399192970656338	0.00554907722659609	0.00652035623409669
