fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241115.011528	1	5	1	968467	1600	5.399	5.399
20241115.011603	1	5	1	968467	1800	6.019	6.019
20241115.011637	1	5	1	968467	2000	5.899	5.899
20241115.011712	1	5	1	968467	2200	5.729	5.729
20241115.011746	1	5	1	968467	2400	5.909	5.909
20241115.011820	1	5	1	541129	1600	5.809	5.809
20241115.011854	1	5	1	541129	1800	6.449	6.449
20241115.011928	1	5	1	541129	2000	6.139	6.139
20241115.012002	1	5	1	541129	2200	5.789	5.789
20241115.012036	1	5	1	541129	2400	5.249	5.249
20241115.012110	1	5	1	561529	1600	5.819	5.819
20241115.012144	1	5	1	561529	1800	6.039	6.039
20241115.012217	1	5	1	561529	2000	6.309	6.309
20241115.012251	1	5	1	561529	2200	6.109	6.109
20241115.012325	1	5	1	561529	2400	5.519	5.519
20241115.012400	1	5	1	180539	1600	5.759	5.759
20241115.012433	1	5	1	180539	1800	5.579	5.579
20241115.012507	1	5	1	180539	2000	5.299	5.299
20241115.012541	1	5	1	180539	2200	5.159	5.159
20241115.012615	1	5	1	180539	2400	5.339	5.339
20241115.012649	1	5	1	186551	1600	6.909	6.909
20241115.012723	1	5	1	186551	1800	7.209	7.209
20241115.012757	1	5	1	186551	2000	7.729	7.729
20241115.012831	1	5	1	186551	2200	7.449	7.449
20241115.012905	1	5	1	186551	2400	7.239	7.239
20241115.012939	1	5	1	643043	1600	5.409	5.409
20241115.013013	1	5	1	643043	1800	5.129	5.129
20241115.013047	1	5	1	643043	2000	5.359	5.359
20241115.013121	1	5	1	643043	2200	5.149	5.149
20241115.013155	1	5	1	643043	2400	4.979	4.979
20241115.013229	1	5	1	934469	1600	4.509	4.509
20241115.013303	1	5	1	934469	1800	4.259	4.259
20241115.013337	1	5	1	934469	2000	4.709	4.709
20241115.013412	1	5	1	934469	2200	5.829	5.829
20241115.013445	1	5	1	934469	2400	6.509	6.509
20241115.013520	1	5	1	433549	1600	5.279	5.279
20241115.013554	1	5	1	433549	1800	5.059	5.059
20241115.013628	1	5	1	433549	2000	4.909	4.909
20241115.013702	1	5	1	433549	2200	5.489	5.489
20241115.013736	1	5	1	433549	2400	5.679	5.679
20241115.013810	1	5	1	596693	1600	6.359	6.359
20241115.013844	1	5	1	596693	1800	6.879	6.879
20241115.013918	1	5	1	596693	2000	6.649	6.649
20241115.013952	1	5	1	596693	2200	6.479	6.479
20241115.014026	1	5	1	596693	2400	6.689	6.689
20241115.014100	1	5	1	205453	1600	4.689	4.689
20241115.014134	1	5	1	205453	1800	4.529	4.529
20241115.014208	1	5	1	205453	2000	4.719	4.719
20241115.014242	1	5	1	205453	2200	5.019	5.019
20241115.014316	1	5	1	205453	2400	5.069	5.069
20241115.014350	1	5	1	217979	1600	5.459	5.459
20241115.014424	1	5	1	217979	1800	4.829	4.829
20241115.014458	1	5	1	217979	2000	5.409	5.409
20241115.014532	1	5	1	217979	2200	5.529	5.529
20241115.014606	1	5	1	217979	2400	5.749	5.749
20241115.014640	1	5	1	808937	1600	6.629	6.629
20241115.014714	1	5	1	808937	1800	6.099	6.099
20241115.014748	1	5	1	808937	2000	5.539	5.539
20241115.014822	1	5	1	808937	2200	5.279	5.279
20241115.014856	1	5	1	808937	2400	5.909	5.909
20241115.014930	1	5	1	628757	1600	5.419	5.419
20241115.015004	1	5	1	628757	1800	5.599	5.599
20241115.015038	1	5	1	628757	2000	6.289	6.289
20241115.015112	1	5	1	628757	2200	5.709	5.709
20241115.015146	1	5	1	628757	2400	5.839	5.839
20241115.015221	1	5	1	137353	1600	4.969	4.969
20241115.015255	1	5	1	137353	1800	5.109	5.109
20241115.015329	1	5	1	137353	2000	5.339	5.339
20241115.015403	1	5	1	137353	2200	5.539	5.539
20241115.015437	1	5	1	137353	2400	6.109	6.109
20241115.015511	1	5	1	564391	1600	5.519	5.519
20241115.015544	1	5	1	564391	1800	5.329	5.329
20241115.015618	1	5	1	564391	2000	6.299	6.299
20241115.015652	1	5	1	564391	2200	6.909	6.909
20241115.015726	1	5	1	564391	2400	6.319	6.319
20241115.015800	1	5	1	291077	1600	6.749	6.749
20241115.015835	1	5	1	291077	1800	6.679	6.679
20241115.015909	1	5	1	291077	2000	6.309	6.309
20241115.015943	1	5	1	291077	2200	6.439	6.439
20241115.020017	1	5	1	291077	2400	6.259	6.259
20241115.020051	1	5	1	340451	1600	5.759	5.759
20241115.020125	1	5	1	340451	1800	6.369	6.369
20241115.020159	1	5	1	340451	2000	5.799	5.799
20241115.020233	1	5	1	340451	2200	5.269	5.269
20241115.020307	1	5	1	340451	2400	5.419	5.419
20241115.020341	1	5	1	692641	1600	6.559	6.559
20241115.020415	1	5	1	692641	1800	6.479	6.479
20241115.020449	1	5	1	692641	2000	6.959	6.959
20241115.020523	1	5	1	692641	2200	6.409	6.409
20241115.020557	1	5	1	692641	2400	5.779	5.779
20241115.020631	1	5	1	974747	1600	6.319	6.319
20241115.020705	1	5	1	974747	1800	6.679	6.679
20241115.020739	1	5	1	974747	2000	6.889	6.889
20241115.020812	1	5	1	974747	2200	7.039	7.039
20241115.020846	1	5	1	974747	2400	6.429	6.429
20241115.020919	1	5	1	578999	1600	5.359	5.359
20241115.020952	1	5	1	578999	1800	5.589	5.589
20241115.021025	1	5	1	578999	2000	6.139	6.139
20241115.021059	1	5	1	578999	2200	6.299	6.299
20241115.021132	1	5	1	578999	2400	6.389	6.389
20241115.021133	1	5	20	-1	1600	5.734	5.734
20241115.021134	1	5	20	-1	1800	5.7955	5.7955
20241115.021136	1	5	20	-1	2000	5.9345	5.9345
20241115.021137	1	5	20	-1	2200	5.931	5.931
20241115.021138	1	5	20	-1	2400	5.919	5.919
