fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241110.202236	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.154596327384011	0.702882144541826	1417	1411	3331	1	11960416.4588529	11960416.4588529	1
20241110.202349	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.203844974735345	0.766238298995319	1275	686	3058	1	11825700.7481297	11825700.7481297	2
20241110.202439	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	19	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0938781666538349	0.609920130475281	792	1703	2732	1	11621655.8603491	11621655.8603491	3
20241110.202549	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	375	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0670463394264548	0.651274005606536	663	516	3079	1	12086491.2718204	12086491.2718204	4
20241110.202656	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.182210397469407	0.787143593095445	644	395	2831	1	11261214.4638404	11261214.4638404	5
20241110.202748	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.22765059474479	0.849027676303582	1066	810	2407	1	11895807.9800499	11895807.9800499	6
20241110.202841	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	45	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0320905838807443	0.638449106754832	1304	1128	3466	1	11291476.3092269	11291476.3092269	7
20241110.203003	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	204	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.12851118360188	0.530256377071684	1603	357	2785	1	12355922.6932668	12355922.6932668	8
20241110.203105	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	39	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0392104781298617	0.739338602610498	306	1339	2702	1	11235845.3865337	11235845.3865337	9
20241110.203156	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.246010977315084	0.814351460246859	1931	1235	2552	1	11735521.1970075	11735521.1970075	10
