Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado_lag1	0.304102822974593	0.0128935714029226	0.0035778175313059
mcuentas_saldo_rank	0.095663110639363	0.0153692274693614	0.0196779964221825
PC2	0.0621042131827535	0.0137212763320823	0.0107334525939177
ctrx_quarter_lag1	0.0490490946736418	0.0103273451524227	0.0107334525939177
PC1	0.0448562852749142	0.0310698352592284	0.0161001788908766
PC6	0.0293658283050899	0.0041506717057786	0.00715563506261181
mprestamos_personales_rank_lag1	0.0286015034608209	0.0169095599173446	0.0125223613595707
mpayroll_sobre_edad_rank	0.02665784562908	0.0311313164312321	0.0107334525939177
ccomisiones_mantenimiento_tend6	0.0232365168341936	0.0141267110972024	0.00715563506261181
PC4	0.0146284982259652	0.0121373636425922	0.00715563506261181
mactivos_margen_rank	0.0102418729856378	0.0100049152971656	0.0125223613595707
cpayroll_trx_lag1	0.00987071365053295	0.00192562866629437	0.00178890876565295
cproductos_tend6	0.0093693233345418	0.00501481781487817	0.0035778175313059
rf_015_013	0.00931715878037125	0.00279478277380672	0.00178890876565295
mrentabilidad_annual_rank	0.00898156436007082	0.0075389555680791	0.00715563506261181
cproductos_delta1	0.0089727253012036	0.0193403571043838	0.00536672629695886
PC46	0.00626225313962689	0.0125585682750546	0.00894454382826476
rf_018_014	0.00549443854526679	0.00319126707367842	0.00178890876565295
PC16	0.00547012073759487	0.0105051823726554	0.00715563506261181
mcomisiones_mantenimiento_rank_tend6	0.00504943166218991	0.00691934895594421	0.00715563506261181
PC9	0.00487665298286278	0.00962963507567991	0.0143112701252236
PC37	0.00469614036155928	0.00580416360725913	0.00536672629695886
rf_007_002	0.00456205656889947	0.00452115703516691	0.00178890876565295
internet_tend6	0.00445798952602393	0.020974669437475	0.00894454382826476
ccomisiones_otras	0.00432774067703766	0.00912595829914309	0.00894454382826476
mpasivos_margen_rank	0.00430761694221251	0.0158902724106064	0.00715563506261181
foto_mes	0.00416698115293346	0.00493319809606556	0.00715563506261181
Master_fechaalta_lag1	0.00406676557463338	0.00308854982963748	0.00536672629695886
rf_009_013	0.00396066275193711	0.00176569237655843	0.00536672629695886
mcuentas_saldo_rank_tend6	0.00376379511951827	0.00979298106646285	0.0125223613595707
rf_014_014	0.00367244318781266	0.00329984474139389	0.00178890876565295
mprestamos_personales_rank_tend6	0.0035836313570485	0.017212170885266	0.00536672629695886
ctrx_quarter_delta1	0.00342193683389126	0.00527118471234963	0.0035778175313059
rf_009_007	0.00336172356247485	0.00763155026213675	0.00715563506261181
Visa_mconsumototal_rank_tend6	0.00314683402567613	0.0133614463184659	0.0125223613595707
mcomisiones_rank_lag1	0.00311342966493915	0.00827236095265769	0.0107334525939177
PC13	0.00296209752980002	0.020427092759958	0.00894454382826476
mttarjeta_visa_debitos_automaticos_rank_tend6	0.00292863961086667	0.00607374309628772	0.0035778175313059
PC12	0.00287940448405248	0.00351763939577114	0.00715563506261181
PC35	0.00273363333157882	0.00505232452639519	0.00715563506261181
mv_status07_rank_tend6	0.00265114291385867	0.00600874567007925	0.00178890876565295
vmr_mpagominimo_lag1	0.00264611394913409	0.0148632065233548	0.00536672629695886
cprestamos_personales_tend6	0.00261781530769803	0.00969623079925417	0.0035778175313059
