Feature	Gain	Cover	Frequency
ctrx_quarter	0.275518689179129	0.0701404047536746	0.0552197802197802
mcuentas_saldo	0.122326193214157	0.0348946148066044	0.0376373626373626
cdescubierto_preacordado	0.0504164701383603	0.00491514591628566	0.00302197802197802
cpayroll_trx	0.042271191807726	0.0277371112432641	0.00851648351648352
Visa_msaldototal	0.0341452204734157	0.0252881364491629	0.0302197802197802
mpayroll	0.0314640831191463	0.0608638129178817	0.0197802197802198
cprestamos_personales	0.0307685532669151	0.0171730150866216	0.00934065934065934
mprestamos_personales	0.0304606826474353	0.0252848495560735	0.0101648351648352
foto_mes	0.0251057712303882	0.0212403602608966	0.0195054945054945
mrentabilidad_annual	0.0240028219238065	0.0402281974504158	0.0456043956043956
Visa_Fvencimiento	0.0207632895254299	0.0103474006552889	0.0211538461538462
mcuenta_corriente	0.0201516272784814	0.0251105136173151	0.0304945054945055
mactivos_margen	0.0200788554810473	0.0241907277398975	0.0313186813186813
mrentabilidad	0.0190033452443913	0.0141000312581356	0.0252747252747253
cliente_edad	0.014597754391542	0.0302266606646403	0.0423076923076923
mpasivos_margen	0.0131041772640563	0.026238962787146	0.0332417582417582
mtarjeta_visa_consumo	0.0117293244272427	0.0412022279475595	0.0214285714285714
Visa_status	0.0115685410298036	0.0137081073503637	0.00164835164835165
mcomisiones_mantenimiento	0.0108512002944205	0.0337855169477432	0.0120879120879121
chomebanking_transacciones	0.0104073342308001	0.0162529244641494	0.0332417582417582
mcaja_ahorro	0.00985650668360725	0.0235829572634242	0.0321428571428571
Master_fechaalta	0.00982645616413559	0.0148000306486455	0.0263736263736264
Master_Fvencimiento	0.00965884399309899	0.0197461952579928	0.0277472527472527
Visa_mpagominimo	0.00878790370237587	0.0321359537344765	0.0324175824175824
Visa_fechaalta	0.00876326688022094	0.0103396731914034	0.0206043956043956
cliente_antiguedad	0.00783187003182428	0.014775934021825	0.0293956043956044
cproductos	0.00753914100736373	0.040717160890587	0.0156593406593407
Master_mfinanciacion_limite	0.00743595396902871	0.0110503386588257	0.0241758241758242
Visa_cconsumos	0.0072167273306124	0.0144117201465214	0.0252747252747253
Visa_mlimitecompra	0.00703992457880151	0.0231353738481725	0.0115384615384615
mtransferencias_recibidas	0.00683209159639097	0.017065744827388	0.0258241758241758
numero_de_cliente	0.0067964762765295	0.0212259501733129	0.0271978021978022
mcomisiones	0.00678783108749751	0.0135801579624223	0.0258241758241758
Visa_mfinanciacion_limite	0.00676801516934843	0.00978503719195717	0.0181318681318681
ctarjeta_visa_transacciones	0.00666652584051419	0.0169867505557244	0.0206043956043956
ccomisiones_otras	0.006620682414784	0.0322761146921074	0.0260989010989011
ccallcenter_transacciones	0.00654801817436343	0.0114532116210608	0.00467032967032967
Master_mlimitecompra	0.00562028335255496	0.011319776822136	0.0192307692307692
Master_status	0.00542672203391463	0.0165799376752828	0.00302197802197802
Visa_mconsumototal	0.00533410507888775	0.00672668112609393	0.0112637362637363
mttarjeta_visa_debitos_automaticos	0.00530141574944334	0.00672848782891787	0.0153846153846154
Master_mpagominimo	0.00483930668909373	0.00790974496321727	0.00961538461538462
internet	0.00457943356184583	0.00439235577504939	0.00164835164835165
Visa_fultimo_cierre	0.00328617855417488	0.00307868691450856	0.00714285714285714
ccomisiones_mantenimiento	0.00323886311506869	0.0181837673628495	0.00412087912087912
Master_fultimo_cierre	0.00311226064541088	0.004902738439061	0.010989010989011
mtarjeta_master_consumo	0.00247898636168762	0.00600156203608007	0.0054945054945055
Master_msaldototal	0.00183901457430727	0.00816690625432629	0.0118131868131868
Master_mconsumototal	0.00155708879502149	0.00415421928235152	0.00961538461538462
thomebanking	0.00152820513855285	0.00330940068837554	0.00137362637362637
ctarjeta_visa	0.00118263486715628	0.000255681100843621	0.00054945054945055
Master_cconsumos	0.000667988609467034	0.00270295802964038	0.0021978021978022
ctarjeta_master_transacciones	0.000296151724596119	0.00414283487781029	0.0010989010989011
ctarjeta_master	8.06247048079886e-11	0.0014472342644891	0.00054945054945055
