Feature	Gain	Cover	Frequency
ctrx_quarter	0.38995727160645	0.0743951131141544	0.0244444444444444
mcuentas_saldo	0.0871075442257058	0.0340815907626161	0.0388888888888889
cpayroll_trx	0.0778336032734563	0.0508129316219888	0.01
mcaja_ahorro	0.0593816004363239	0.0414271842903582	0.0422222222222222
mprestamos_personales	0.0392168571948739	0.0289525068415861	0.0211111111111111
mtarjeta_visa_consumo	0.036182305904471	0.0408317754890806	0.0166666666666667
mpayroll	0.0300320910247662	0.0661644131043176	0.0311111111111111
foto_mes	0.0280812869960766	0.0291159687059955	0.0344444444444444
ctarjeta_visa_transacciones	0.0264043180148876	0.0342770795063119	0.0222222222222222
Visa_msaldototal	0.0222819812371239	0.042708883362057	0.0355555555555556
mrentabilidad_annual	0.0186818520996117	0.0353512277628954	0.0355555555555556
cproductos	0.0184922587533205	0.0582333931792314	0.0288888888888889
mcomisiones_mantenimiento	0.0138029216419287	0.0480590359368621	0.0233333333333333
mactivos_margen	0.0128625253796438	0.0360624740431502	0.0411111111111111
Master_fechaalta	0.0104739912966202	0.0238373566927131	0.0411111111111111
mpasivos_margen	0.00958345820506798	0.0144986098462689	0.0255555555555556
Visa_Fvencimiento	0.00908432398469147	0.0209846768019955	0.02
Visa_status	0.00882244741099213	0.00745768760524417	0.00333333333333333
ccallcenter_transacciones	0.00683718742602799	0.0115660707240841	0.00777777777777778
mcuenta_corriente	0.00680331486453733	0.0109082718982227	0.0222222222222222
Visa_fechaalta	0.0064130506557648	0.0183478663963376	0.0344444444444444
Master_Fvencimiento	0.00624961536940865	0.0178323168265272	0.0333333333333333
Visa_cconsumos	0.00512021932804012	0.0113004971861059	0.0255555555555556
Visa_mpagominimo	0.00503619951578879	0.0237583293282404	0.0311111111111111
cdescubierto_preacordado	0.00478109377965552	0.00278841816539637	0.00333333333333333
mrentabilidad	0.00474732741457953	0.0081487611108835	0.02
thomebanking	0.00462946627983169	0.00148550648533907	0.00444444444444444
cliente_edad	0.00448209161384102	0.0159577045545342	0.0333333333333333
ccomisiones_otras	0.0044560508170932	0.0330741998323372	0.0344444444444444
Master_mfinanciacion_limite	0.00423442167034579	0.0129877314175991	0.0277777777777778
Master_status	0.0038332124103398	0.00611505427620189	0.00222222222222222
cprestamos_personales	0.00361538596975947	0.00805122470578424	0.00777777777777778
numero_de_cliente	0.00360986756955017	0.0118969458211266	0.0255555555555556
mcomisiones	0.00298179035108766	0.00821343876970199	0.0188888888888889
Visa_mfinanciacion_limite	0.00264834912010281	0.0156603121040183	0.0233333333333333
mtransferencias_recibidas	0.00243552495282132	0.00685978320298324	0.02
mtarjeta_master_consumo	0.00233231705672817	0.00326674168720512	0.00333333333333333
chomebanking_transacciones	0.00220577606894942	0.0141773012196626	0.0288888888888889
Master_mpagominimo	0.00217419200942194	0.00408862627772171	0.00777777777777778
internet	0.00215924013898385	0.000866805408216891	0.00222222222222222
cliente_antiguedad	0.00191791470218614	0.0164557849174611	0.0244444444444444
mttarjeta_visa_debitos_automaticos	0.00143684779361142	0.00561073491081658	0.01
Master_mlimitecompra	0.00143112012469367	0.00203807413640248	0.00333333333333333
Visa_mlimitecompra	0.00124733012802046	0.0108020008896818	0.00888888888888889
Visa_mconsumototal	0.00091264394178528	0.0081604072488058	0.0133333333333333
ccomisiones_mantenimiento	0.000902133022634232	0.0067909462091925	0.00222222222222222
ctarjeta_visa	0.000565447443340086	0.000495584761943582	0.00111111111111111
Master_mconsumototal	0.000545054514987713	0.000778003606559355	0.00333333333333333
Master_cconsumos	0.000387885030334542	0.00205387960929703	0.00555555555555556
ctarjeta_master_transacciones	0.000339217681616914	0.00173673031766297	0.00333333333333333
Master_fultimo_cierre	0.000101585139911742	0.00445527165552554	0.00777777777777778
Master_msaldototal	8.16570106403616e-05	0.00142873156296786	0.00222222222222222
ctarjeta_master	6.28303975665965e-05	0.00459003410862644	0.00111111111111111
