fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241113.011025	1	64	1	968467	1600	5.369	5.369
20241113.011148	1	64	1	968467	1800	5.709	5.709
20241113.011301	1	64	1	968467	2000	5.869	5.869
20241113.011415	1	64	1	968467	2200	5.629	5.629
20241113.011528	1	64	1	968467	2400	5.339	5.339
20241113.011642	1	64	1	541129	1600	5.849	5.849
20241113.011755	1	64	1	541129	1800	5.319	5.319
20241113.011909	1	64	1	541129	2000	5.559	5.559
20241113.012022	1	64	1	541129	2200	4.979	4.979
20241113.012136	1	64	1	541129	2400	5.669	5.669
20241113.012249	1	64	1	561529	1600	4.969	4.969
20241113.012403	1	64	1	561529	1800	5.579	5.579
20241113.012516	1	64	1	561529	2000	5.669	5.669
20241113.012629	1	64	1	561529	2200	5.029	5.029
20241113.012743	1	64	1	561529	2400	5.589	5.589
20241113.012856	1	64	1	180539	1600	7.199	7.199
20241113.013010	1	64	1	180539	1800	6.649	6.649
20241113.013123	1	64	1	180539	2000	6.529	6.529
20241113.013237	1	64	1	180539	2200	6.349	6.349
20241113.013350	1	64	1	180539	2400	5.829	5.829
20241113.013504	1	64	1	186551	1600	4.309	4.309
20241113.013617	1	64	1	186551	1800	3.789	3.789
20241113.013731	1	64	1	186551	2000	3.559	3.559
20241113.013844	1	64	1	186551	2200	4.159	4.159
20241113.013958	1	64	1	186551	2400	4.059	4.059
20241113.014111	1	64	1	643043	1600	5.909	5.909
20241113.014224	1	64	1	643043	1800	5.669	5.669
20241113.014337	1	64	1	643043	2000	6.219	6.219
20241113.014451	1	64	1	643043	2200	6.449	6.449
20241113.014604	1	64	1	643043	2400	5.939	5.939
20241113.014718	1	64	1	934469	1600	4.909	4.909
20241113.014831	1	64	1	934469	1800	5.229	5.229
20241113.014945	1	64	1	934469	2000	5.129	5.129
20241113.015058	1	64	1	934469	2200	6.109	6.109
20241113.015211	1	64	1	934469	2400	5.519	5.519
20241113.015325	1	64	1	433549	1600	6.439	6.439
20241113.015438	1	64	1	433549	1800	6.669	6.669
20241113.015551	1	64	1	433549	2000	6.529	6.529
20241113.015625	1	64	1	433549	2200	6.309	6.309
20241113.015659	1	64	1	433549	2400	6.099	6.099
20241113.015733	1	64	1	596693	1600	6.309	6.309
20241113.015807	1	64	1	596693	1800	6.469	6.469
20241113.015841	1	64	1	596693	2000	6.709	6.709
20241113.015915	1	64	1	596693	2200	6.119	6.119
20241113.015948	1	64	1	596693	2400	6.259	6.259
20241113.020021	1	64	1	205453	1600	5.739	5.739
20241113.020055	1	64	1	205453	1800	5.169	5.169
20241113.020129	1	64	1	205453	2000	5.519	5.519
20241113.020203	1	64	1	205453	2200	5.199	5.199
20241113.020236	1	64	1	205453	2400	6.189	6.189
