Feature	Gain	Cover	Frequency
rf_009_000	0.224922745661738	0.0159522246021235	0.00313971742543171
mprestamos_personales_rank	0.0555784267710871	0.00901367968671252	0.0043956043956044
cdescubierto_preacordado	0.0467290811484004	0.00209149040577172	0.00188383045525903
ctrx_quarter_normalizado	0.0404944061006506	0.0121557521085011	0.0043956043956044
cpayroll_trx	0.0314685869316713	0.0256839362950439	0.00156985871271586
ccomisiones_mantenimiento_tend6	0.0205461436724446	0.00274816148693113	0.00408163265306122
mpasivos_margen_rank	0.0185218685267737	0.00856129026171985	0.0160125588697017
ctarjeta_visa_transacciones	0.0169095857624625	0.00327573442257928	0.00565149136577708
internet_tend6	0.0146073372338388	0.00605189046677452	0.00313971742543171
mcuentas_saldo_rank	0.0142385016229792	0.0109627297671849	0.0160125588697017
rf_005_015	0.0132387759958436	0.029943629181212	0.00345368916797488
foto_mes	0.0110304996944527	0.00744729467761014	0.00596546310832025
vm_status04_tend6	0.0100350426202845	0.00335174772510375	0.00188383045525903
rf_012_003	0.00979584591297858	0.00583557682850753	0.00125588697017268
cdescubierto_preacordado_lag1	0.00886420343984136	0.0040070430986909	0.0021978021978022
mrentabilidad_annual_rank_delta1	0.00860739789253285	0.00382149726946067	0.0119309262166405
vm_mpagominimo_rank	0.00770063235508332	0.0148502610001141	0.00659340659340659
rf_020_009	0.00731404137180055	0.00981471271644684	0.00973312401883831
Visa_fechaalta_lag1	0.0071108431409489	0.00362016355809163	0.00565149136577708
mactivos_margen_rank_lag1	0.00696892063757256	0.00527027019944877	0.00847723704866562
internet	0.00600195021108858	0.000314687647997747	0.000941915227629513
mcuentas_saldo_rank_tend6	0.00572562595743868	0.00529142989210784	0.0113029827315542
vm_status01	0.00544192158356894	0.00491924640224082	0.000941915227629513
mprestamos_personales_rank_tend6	0.00543290064753473	0.00245935024326877	0.00408163265306122
Master_fechaalta_lag1	0.00512969165703927	0.00143418606239651	0.00627943485086342
rf_019_002	0.00511534041730036	0.000472195246707604	0.000941915227629513
mprestamos_personales_rank_lag1	0.00511378172232337	0.00226330099590747	0.00251177394034537
mcomisiones_rank_lag1	0.0050813409832712	0.003166114549361	0.00973312401883831
Visa_msaldototal_rank_tend6	0.00507725656427808	0.00313988875897551	0.00596546310832025
ctrx_quarter_normalizado_tend6	0.00506587510858195	0.00332329459864889	0.00596546310832025
mactivos_margen_rank	0.0049495336316823	0.00340878499778227	0.00722135007849294
Visa_msaldototal_rank	0.00477269967437372	0.00127621989449589	0.00565149136577708
