Feature	Gain	Cover	Frequency
rf_011_000	0.186440812285024	0.00455855889114873	0.000481000481000481
ctrx_quarter_normalizado	0.086303897875337	0.012441200391627	0.00577200577200577
ctrx_quarter	0.0557693232971441	0.0148860435619067	0.00529100529100529
ctrx_quarter_normalizado_lag1	0.0494867994317505	0.00552519488112374	0.00192400192400192
mprestamos_personales_rank	0.0335509916792504	0.0200152416571139	0.00913900913900914
cpayroll_trx	0.0242882687455092	0.0101493011854664	0.00384800384800385
rf_003_008	0.0235699470068021	0.0281326483754224	0.00673400673400673
rf_015_002	0.0235323119885499	0.000675213697751837	0.000481000481000481
rf_018_006	0.0214829889469385	0.0219726983722769	0.00529100529100529
mcuentas_saldo_rank	0.0206399361508244	0.0118972322039715	0.0105820105820106
rf_012_003	0.0166342676429884	0.00742539178705981	0.000962000962000962
cproductos_tend6	0.0142105704571121	0.00261014319849527	0.00336700336700337
rf_009_000	0.0138516722417906	0.000170649299866984	0.000481000481000481
foto_mes	0.0120021995965647	0.00335595221367553	0.00432900432900433
rf_005_015	0.0119328048597372	0.0182342355645949	0.00192400192400192
rf_006_001	0.00864209496478647	0.0041040968263374	0.000962000962000962
rf_002_014	0.00838624841684303	0.00646561190582118	0.00240500240500241
mtarjeta_visa_consumo_rank	0.00781542308431639	0.00646659134992637	0.00577200577200577
cproductos	0.00759265192854916	0.0442072850299126	0.0182780182780183
cdescubierto_preacordado_tend6	0.00668590559033962	0.00808485903727425	0.00192400192400192
rf_015_014	0.00606131286697641	0.00540442188876755	0.00240500240500241
mcuentas_saldo_rank_tend6	0.00602965006045201	0.00268540971088694	0.00577200577200577
rf_017_011	0.0058255829583899	0.00234041936029492	0.00288600288600289
vm_msaldototal_rank	0.00573670663869755	0.00575852860372332	0.00481000481000481
rf_002_006	0.00495210387674562	0.00398535806404585	0.000962000962000962
rf_013_012	0.00491860684433845	0.000441578607735273	0.000481000481000481
ccomisiones_mantenimiento_tend6	0.0048027685096499	0.00165006194983965	0.00384800384800385
ccallcenter_transacciones	0.00467447077473267	0.00323804221178068	0.00192400192400192
Visa_fechaalta_lag1	0.00464408952997096	0.00186275200437586	0.00529100529100529
mrentabilidad_annual_rank_delta1	0.00457447942835165	0.00593490388451299	0.00913900913900914
mprestamos_personales_rank_tend6	0.00450899786779857	0.00626686009432047	0.00384800384800385
mtransferencias_recibidas_rank	0.00439396324742851	0.00433230730284826	0.00481000481000481
rf_018_010	0.00433593599473449	0.00332950722283521	0.00384800384800385
mactivos_margen_rank	0.00422679829917944	0.00493413803456458	0.00384800384800385
mrentabilidad_annual_rank	0.00419027899244944	0.00567648132444952	0.00721500721500722
mcaja_ahorro_rank	0.00411702492474041	0.0044899224619307	0.00913900913900914
rf_006_008	0.00407801097391419	0.0163934080398046	0.00384800384800385
mrentabilidad_annual_rank_lag1	0.00407747860064292	0.00484854968814123	0.00913900913900914
mcomisiones_rank_lag1	0.00406684468555611	0.00778725871300291	0.0134680134680135
ctarjeta_visa_transacciones	0.0039915604579173	0.00557205751446469	0.00432900432900433
mactivos_margen_rank_lag1	0.00394757220820734	0.00777354649553016	0.00625300625300625
kmes_tend6	0.00381696472352254	0.0026270951157006	0.00288600288600289
vm_status01	0.00374192538874946	0.00245124722789065	0.000962000962000962
cliente_edad_lag1	0.0037172705723417	0.00641799585393776	0.00865800865800866
mpasivos_margen_rank	0.00355350052106231	0.0042680407011765	0.00865800865800866
mrentabilidad_rank_tend6	0.00352891073939306	0.00276662822976403	0.00577200577200577
Visa_mfinanciacion_limite_rank	0.00351800170918917	0.00180843052746455	0.00481000481000481
internet_tend6	0.00349972802865437	0.00368067560547539	0.00384800384800385
vm_status05	0.00337078466414074	7.293091491004e-05	0.000481000481000481
ctrx_quarter_tend6	0.00335902692388253	0.00763717773934506	0.00529100529100529
Master_fechaalta_lag1	0.00334445414054989	0.00599886911876777	0.00817700817700818
cliente_edad	0.00330968202628091	0.00530052547176244	0.00865800865800866
mcuentas_saldo_rank_delta1	0.00319748054590738	0.0145787994802919	0.0115440115440115
mcomisiones_mantenimiento_rank_tend6	0.00286997601859091	0.00496532956222239	0.00288600288600289
mcaja_ahorro_rank_lag1	0.00280875787355085	0.0058776440752861	0.0076960076960077
mrentabilidad_annual_rank_tend6	0.00275691741270215	0.00197094290707298	0.00481000481000481
mcomisiones_mantenimiento_rank	0.00273237541557051	0.0119477112463163	0.00673400673400673
numero_de_cliente	0.00271881382387579	0.00528568312647599	0.00865800865800866
ccomisiones_otras	0.00265248975623771	0.0118448696152706	0.00913900913900914
mcomisiones_rank_tend6	0.00264825566583003	0.00327737065969704	0.00529100529100529
mv_status07_rank	0.0026333451223427	7.02939500114331e-05	0.000481000481000481
vm_status02	0.00261537815105545	0.00662782291801262	0.00144300144300144
Visa_fechaalta	0.00257338525503225	0.00270643008822154	0.0076960076960077
vmr_msaldototal_tend6	0.00256301103328949	0.00343988303930547	0.00384800384800385
rf_010_009	0.00255659851736643	0.0110011915314249	0.00673400673400673
vm_mconsumototal_rank_tend6	0.00249630736383828	0.00612152565748011	0.00817700817700818
mcuenta_corriente_rank_lag1	0.00249455194512583	0.00237447387841407	0.00673400673400673
Master_fechaalta	0.00249204588694014	0.00427112971720058	0.00962000962000962
cdescubierto_preacordado	0.00248628195814567	0.00280535394284642	0.00144300144300144
Master_Fvencimiento_lag1	0.00246628395820223	0.003632758186175	0.00721500721500722
Visa_mlimitecompra_rank_delta1	0.00244669950430149	0.00251363028320626	0.00673400673400673
mcuenta_corriente_rank_tend6	0.00232159193010085	0.00167522612915779	0.00481000481000481
ctarjeta_visa_transacciones_tend6	0.00229519129982544	0.0013416123985569	0.00240500240500241
mactivos_margen_rank_tend6	0.00229414703455788	0.00189462160872187	0.00481000481000481
mcomisiones_rank	0.00225889862641606	0.00378253779241586	0.0076960076960077
rf_009_004	0.0021684418768024	0.00352366318122692	0.000481000481000481
vm_Fvencimiento	0.00213747024905738	0.00501106206774966	0.00625300625300625
vm_fechaalta	0.00212083184713408	0.00233205641447362	0.00481000481000481
Visa_cconsumos_tend6	0.00212019296964868	0.00510523938555704	0.00721500721500722
mprestamos_personales_rank_delta1	0.00211361581660592	0.00629677081045609	0.00240500240500241
ctrx_quarter_normalizado_tend6	0.00205972634950215	0.010400114218251	0.00865800865800866
rf_014_012	0.00200745351647871	0.00604791666588186	0.00192400192400192
rf_018_013	0.00200543696947889	0.000798623655006636	0.000481000481000481
mprestamos_personales_rank_lag1	0.00200281935445386	0.000888506487122005	0.000481000481000481
cliente_antiguedad	0.00195420086680649	0.0045737779457064	0.0076960076960077
cprestamos_personales	0.00191430803352951	0.00235262474068276	0.00240500240500241
mttarjeta_visa_debitos_automaticos_rank_tend6	0.00190389680347734	0.0031658647154131	0.00384800384800385
mpayroll_rank_tend6	0.00183354319442785	0.00613719676316326	0.00721500721500722
Master_mfinanciacion_limite_rank_tend6	0.00183178251123648	0.00209051042976124	0.00673400673400673
mpasivos_margen_rank_tend6	0.00180564032667549	0.00313896767344731	0.00432900432900433
vmr_Master_mlimitecompra_tend6	0.0017663472296395	0.00689182077529028	0.00432900432900433
Visa_mconsumototal_rank_tend6	0.00176136288617644	0.00548187331493234	0.00673400673400673
vm_fechaalta_lag1	0.0017396505873399	0.00192227206923012	0.00384800384800385
Visa_mlimitecompra_rank_tend6	0.00171389341642086	0.00147029628560892	0.00481000481000481
mcomisiones_mantenimiento_rank_lag1	0.00170052760912093	0.00329394586763114	0.00336700336700337
Visa_status	0.00169848964088162	0.00305865325682117	0.000962000962000962
rf_005_011	0.00168358421985176	0.00203279856940887	0.00288600288600289
chomebanking_transacciones_tend6	0.00167121221114295	0.00161050747636055	0.00384800384800385
mcuenta_corriente_rank	0.00161922894170364	0.00235059051061812	0.00481000481000481
mpayroll_sobre_edad_rank_tend6	0.00161236228829914	0.00397239926511555	0.00384800384800385
Master_mfinanciacion_limite_rank_lag1	0.00158905432697522	0.00231985103408578	0.00481000481000481
Visa_mlimitecompra_rank	0.00155722443761828	0.00184670418942148	0.00384800384800385
thomebanking	0.00154405984458273	0.000394715974394317	0.00144300144300144
cliente_antiguedad_lag1	0.00153589065185632	0.00843331511316158	0.00721500721500722
Visa_cconsumos_delta1	0.0015256381210029	0.00358054628118258	0.00288600288600289
kmes_lag1	0.00151313539995489	0.00134402333789277	0.00240500240500241
mcomisiones_mantenimiento_rank_delta1	0.00149471270899666	0.00566013214207816	0.00240500240500241
mpasivos_margen_rank_lag1	0.00144297707323872	0.00270243696994651	0.00432900432900433
vm_mpagominimo_rank_lag1	0.00143846375935766	0.00693551905075291	0.00577200577200577
Visa_mpagominimo_rank_tend6	0.00143302650313495	0.00167605488955449	0.00432900432900433
rf_009_006	0.00142142084668736	0.000843150690865968	0.000962000962000962
vm_msaldototal_rank_lag1	0.00140913140809176	0.00158270633214381	0.00288600288600289
rf_015_006	0.00139201447223523	0.00346263627928773	0.000481000481000481
Master_Fvencimiento_tend6	0.00133505063372075	0.0015580695458054	0.00288600288600289
ccomisiones_mantenimiento	0.00133288418712429	0.00793349725209422	0.00288600288600289
Visa_msaldototal_rank_tend6	0.0013094822161251	0.00761156150890145	0.00721500721500722
cliente_edad_tend6	0.00130119188137292	0.00102924507085336	0.00336700336700337
Visa_fechaalta_tend6	0.00130022682887275	0.00480507743824134	0.00240500240500241
Visa_mfinanciacion_limite_rank_lag1	0.00130018515720562	0.0019448746255039	0.00288600288600289
ccomisiones_otras_lag1	0.00127737366558953	0.00982683804929392	0.00865800865800866
rf_016_013	0.00125546607363231	0.000570940571475499	0.000481000481000481
Visa_msaldototal_rank	0.00123943614501428	0.00130793458970898	0.00481000481000481
mcuentas_saldo_rank_lag1	0.00123691521367639	0.00307967363415578	0.00529100529100529
ccomisiones_mantenimiento_lag1	0.00121739428972487	0.000341147916025476	0.00144300144300144
vm_mpagominimo_rank	0.00121372999731598	0.00497934314711213	0.00384800384800385
vm_cconsumos	0.00120067803345211	0.00189160793455204	0.00288600288600289
Master_Fvencimiento	0.00118687548940335	0.00501610997198413	0.00865800865800866
vmr_Visa_mlimitecompra_lag1	0.00116864480076177	0.000383414696257431	0.00144300144300144
Master_mpagominimo_rank_tend6	0.00115155818296015	0.00315976202521918	0.00288600288600289
cproductos_delta1	0.00114536678600144	0.00353293022929917	0.00192400192400192
vmr_msaldototal	0.00108323270795224	0.00157652830009565	0.00336700336700337
Visa_mconsumototal_rank	0.00108265323179501	0.00265798527594142	0.00384800384800385
Visa_Fvencimiento	0.00106552026471526	0.00182372492387647	0.00336700336700337
Master_mpagominimo_rank	0.00106230716406604	0.00110428555768229	0.00144300144300144
