fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241028.135928	1	32	1	553733	1600	4.949	4.949
20241028.140012	1	32	1	553733	1800	5.549	5.549
20241028.140052	1	32	1	553733	2000	5.339	5.339
20241028.140132	1	32	1	553733	2200	5.989	5.989
20241028.140214	1	32	1	553733	2400	5.429	5.429
20241028.140259	1	32	1	919613	1600	7.729	7.729
20241028.140340	1	32	1	919613	1800	7.939	7.939
20241028.140419	1	32	1	919613	2000	7.749	7.749
20241028.140500	1	32	1	919613	2200	7.649	7.649
20241028.140541	1	32	1	919613	2400	6.979	6.979
20241028.140623	1	32	1	969851	1600	4.139	4.139
20241028.140705	1	32	1	969851	1800	3.949	3.949
20241028.140747	1	32	1	969851	2000	3.769	3.769
20241028.140827	1	32	1	969851	2200	3.109	3.109
20241028.140909	1	32	1	969851	2400	3.759	3.759
20241028.140952	1	32	1	644867	1600	5.379	5.379
20241028.141035	1	32	1	644867	1800	5.129	5.129
20241028.141115	1	32	1	644867	2000	4.909	4.909
20241028.141158	1	32	1	644867	2200	4.309	4.309
20241028.141239	1	32	1	644867	2400	3.769	3.769
20241028.141321	1	32	1	831709	1600	5.399	5.399
20241028.141402	1	32	1	831709	1800	6.009	6.009
20241028.141443	1	32	1	831709	2000	5.479	5.479
20241028.141526	1	32	1	831709	2200	5.339	5.339
20241028.141607	1	32	1	831709	2400	4.659	4.659
20241028.141649	1	32	1	887867	1600	6.459	6.459
20241028.141731	1	32	1	887867	1800	6.949	6.949
20241028.141813	1	32	1	887867	2000	6.859	6.859
20241028.141854	1	32	1	887867	2200	6.659	6.659
20241028.141934	1	32	1	887867	2400	6.409	6.409
20241028.142017	1	32	1	485311	1600	5.339	5.339
20241028.142058	1	32	1	485311	1800	4.779	4.779
20241028.142140	1	32	1	485311	2000	5.079	5.079
20241028.142221	1	32	1	485311	2200	5.299	5.299
20241028.142302	1	32	1	485311	2400	5.479	5.479
20241028.142344	1	32	1	677717	1600	4.099	4.099
20241028.142426	1	32	1	677717	1800	4.359	4.359
20241028.142506	1	32	1	677717	2000	4.619	4.619
20241028.142547	1	32	1	677717	2200	4.799	4.799
20241028.142628	1	32	1	677717	2400	5.719	5.719
20241028.142710	1	32	1	795121	1600	5.729	5.729
20241028.142751	1	32	1	795121	1800	5.639	5.639
20241028.142833	1	32	1	795121	2000	5.339	5.339
20241028.142913	1	32	1	795121	2200	4.699	4.699
20241028.142954	1	32	1	795121	2400	5.239	5.239
20241028.143037	1	32	1	964519	1600	5.789	5.789
20241028.143118	1	32	1	964519	1800	6.029	6.029
20241028.143158	1	32	1	964519	2000	5.799	5.799
20241028.143239	1	32	1	964519	2200	5.579	5.579
20241028.143320	1	32	1	964519	2400	6.009	6.009
20241028.143403	1	32	1	320291	1600	6.729	6.729
20241028.143443	1	32	1	320291	1800	6.259	6.259
20241028.143524	1	32	1	320291	2000	5.989	5.989
20241028.143604	1	32	1	320291	2200	5.739	5.739
20241028.143645	1	32	1	320291	2400	5.449	5.449
20241028.143726	1	32	1	268693	1600	5.479	5.479
20241028.143807	1	32	1	268693	1800	5.749	5.749
20241028.143847	1	32	1	268693	2000	5.559	5.559
20241028.143928	1	32	1	268693	2200	4.999	4.999
20241028.144008	1	32	1	268693	2400	4.859	4.859
20241028.144050	1	32	1	410239	1600	5.479	5.479
20241028.144130	1	32	1	410239	1800	5.779	5.779
20241028.144210	1	32	1	410239	2000	5.989	5.989
20241028.144251	1	32	1	410239	2200	5.739	5.739
20241028.144331	1	32	1	410239	2400	5.129	5.129
20241028.144413	1	32	1	978337	1600	3.729	3.729
