rank	iteracion_bayesiana	isem	semilla	campo	archivo_pred
1	32	1	553733	m_1_1	tb_future_prediccion.txt
1	32	2	919613	m_1_2	tb_future_prediccion.txt
1	32	3	969851	m_1_3	tb_future_prediccion.txt
1	32	4	644867	m_1_4	tb_future_prediccion.txt
1	32	5	831709	m_1_5	tb_future_prediccion.txt
1	32	6	887867	m_1_6	tb_future_prediccion.txt
1	32	7	485311	m_1_7	tb_future_prediccion.txt
1	32	8	677717	m_1_8	tb_future_prediccion.txt
1	32	9	795121	m_1_9	tb_future_prediccion.txt
1	32	10	964519	m_1_10	tb_future_prediccion.txt
1	32	11	320291	m_1_11	tb_future_prediccion.txt
1	32	12	268693	m_1_12	tb_future_prediccion.txt
1	32	13	410239	m_1_13	tb_future_prediccion.txt
1	32	14	978337	m_1_14	tb_future_prediccion.txt
1	32	15	432167	m_1_15	tb_future_prediccion.txt
1	32	16	824233	m_1_16	tb_future_prediccion.txt
1	32	17	299029	m_1_17	tb_future_prediccion.txt
1	32	18	446609	m_1_18	tb_future_prediccion.txt
1	32	19	254977	m_1_19	tb_future_prediccion.txt
1	32	20	417113	m_1_20	tb_future_prediccion.txt
