pos	campo	tipo	nulos	ceros
1	numero_de_cliente	integer	0	0
2	foto_mes	integer	0	0
3	internet	integer	0	116408
4	cliente_edad	integer	0	0
5	cliente_antiguedad	integer	0	0
6	cproductos	integer	0	0
7	cdescubierto_preacordado	integer	0	5057
8	ctarjeta_visa	integer	0	6771
9	ctarjeta_visa_transacciones	integer	0	19693
10	ctarjeta_master	integer	0	13621
11	ctarjeta_master_transacciones	integer	0	79290
12	cprestamos_personales	integer	0	98971
13	cpayroll_trx	integer	0	59559
14	ccomisiones_mantenimiento	integer	0	86730
15	ccomisiones_otras	integer	0	3542
16	ccallcenter_transacciones	integer	0	114840
17	thomebanking	integer	0	33927
18	chomebanking_transacciones	integer	0	20881
19	ctrx_quarter	integer	0	1530
20	Master_status	integer	13036	112880
21	Master_Fvencimiento	integer	13036	0
22	Master_fultimo_cierre	integer	13069	27175
23	Master_fechaalta	integer	13036	0
24	Master_cconsumos	integer	75265	16507
25	Visa_status	integer	6107	119708
26	Visa_Fvencimiento	integer	6107	0
27	Visa_fultimo_cierre	integer	6134	27117
28	Visa_fechaalta	integer	6107	0
29	Visa_cconsumos	integer	17558	11028
30	clase_ternaria	character	0	0
31	kmes	integer	0	0
32	ctrx_quarter_normalizado	numeric	0	1530
33	vm_status01	integer	5128	120446
34	vm_status02	integer	14015	111805
35	vm_status03	integer	0	111805
36	vm_status04	integer	0	111805
37	vm_status05	integer	0	111805
38	vm_status06	integer	0	120598
39	vm_Fvencimiento	integer	5128	0
40	vm_fultimo_cierre	integer	5154	24592
41	vm_fechaalta	integer	5128	0
42	vm_cconsumos	integer	0	25992
43	vmr_Master_mlimitecompra	numeric	13036	0
44	vmr_Visa_mlimitecompra	numeric	6107	0
45	vmr_msaldototal	numeric	0	15743
46	vmr_mconsumototal	numeric	0	25992
47	vmr_mpagominimo	numeric	0	20969
48	mrentabilidad_rank	numeric	0	252
49	mrentabilidad_annual_rank	numeric	0	220
50	mcomisiones_rank	numeric	0	3580
51	mactivos_margen_rank	numeric	0	5708
52	mpasivos_margen_rank	numeric	0	1853
53	mcuenta_corriente_rank	numeric	0	64190
54	mcaja_ahorro_rank	numeric	0	8966
55	mcuentas_saldo_rank	numeric	0	802
56	mtarjeta_visa_consumo_rank	numeric	0	19693
57	mtarjeta_master_consumo_rank	numeric	0	79290
58	mprestamos_personales_rank	numeric	0	98971
59	mpayroll_rank	numeric	0	60275
60	mttarjeta_visa_debitos_automaticos_rank	numeric	0	46746
61	mcomisiones_mantenimiento_rank	numeric	0	87157
62	mtransferencias_recibidas_rank	numeric	0	33073
