rank	iteracion_bayesiana	semilla	isem	archivo
1	59	968467	1	modelo_01_059_s968467.model
1	59	541129	2	modelo_01_059_s541129.model
1	59	561529	3	modelo_01_059_s561529.model
1	59	180539	4	modelo_01_059_s180539.model
1	59	186551	5	modelo_01_059_s186551.model
1	59	643043	6	modelo_01_059_s643043.model
1	59	934469	7	modelo_01_059_s934469.model
1	59	433549	8	modelo_01_059_s433549.model
1	59	596693	9	modelo_01_059_s596693.model
1	59	205453	10	modelo_01_059_s205453.model
1	59	217979	11	modelo_01_059_s217979.model
1	59	808937	12	modelo_01_059_s808937.model
1	59	628757	13	modelo_01_059_s628757.model
1	59	137353	14	modelo_01_059_s137353.model
1	59	564391	15	modelo_01_059_s564391.model
1	59	291077	16	modelo_01_059_s291077.model
1	59	340451	17	modelo_01_059_s340451.model
1	59	692641	18	modelo_01_059_s692641.model
1	59	974747	19	modelo_01_059_s974747.model
1	59	578999	20	modelo_01_059_s578999.model
