fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241114.142940	77	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.154596327384011	0.702882144541826	1417	1411	2506	1	10532573.5660848	10532573.5660848	1
20241114.142951	77	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.203844974735345	0.766238298995319	1275	686	3853	1	10884591.0224439	10884591.0224439	2
20241114.142959	77	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	25	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0938781666538349	0.609920130475281	792	1703	3251	1	11391538.6533666	11391538.6533666	3
20241114.143009	77	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0670463394264548	0.651274005606536	663	516	3929	1	11236840.3990025	11236840.3990025	4
20241114.143020	77	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.182210397469407	0.787143593095445	644	395	3127	1	11038451.3715711	11038451.3715711	5
20241114.143028	77	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.22765059474479	0.849027676303582	1066	810	3179	1	10634670.8229426	10634670.8229426	6
20241114.143038	77	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	36	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0320905838807443	0.638449106754832	1304	1128	2201	1	10894256.8578554	10894256.8578554	7
20241114.143050	77	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.12851118360188	0.530256377071684	1603	357	2839	1	11401204.4887781	11401204.4887781	8
20241114.143100	77	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	43	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0392104781298617	0.739338602610498	306	1339	3716	1	10774892.7680798	10774892.7680798	9
20241114.143108	77	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.246010977315084	0.814351460246859	1931	1235	3322	1	11318289.276808	11318289.276808	10
