Feature	Gain	Cover	Frequency
ctrx_quarter	0.519125015584082	0.135497007923567	0.0376175548589342
mcaja_ahorro	0.0883889462895226	0.00878787038876889	0.0219435736677116
cpayroll_trx	0.074225019428208	0.0914842643208402	0.0219435736677116
PC10	0.048573080468543	0.0280188273027902	0.0438871473354232
mtarjeta_visa_consumo	0.0375844658460944	0.0367832748217032	0.0250783699059561
PC1	0.0259143674162842	0.0335677051716526	0.0282131661442006
foto_mes	0.0193965460354302	0.0366126782529194	0.0470219435736677
mprestamos_personales	0.0170357394023383	0.0114900888078111	0.0125391849529781
mcuentas_saldo	0.0163862540761578	0.0255367838603934	0.0313479623824451
Visa_msaldototal	0.0158085481792458	0.0147790501167435	0.0219435736677116
PC9	0.015265607916418	0.0113444766335402	0.0156739811912226
mpayroll	0.0149240107618025	0.0428291079126749	0.0219435736677116
mrentabilidad_annual	0.0128083452812087	0.0144929007233373	0.0282131661442006
Master_fechaalta	0.00962893867625288	0.0227338471009709	0.0376175548589342
cprestamos_personales	0.00880419030373693	0.0043504076945689	0.00626959247648903
PC12	0.00723628322038223	0.00850679595049811	0.0219435736677116
ctarjeta_visa_transacciones	0.00674258244784345	0.0135337342027382	0.00940438871473354
PC3	0.0063223643439703	0.0219800210727752	0.0156739811912226
PC11	0.00548037073693251	0.0196236803652719	0.0219435736677116
ccallcenter_transacciones	0.00541603685806175	0.00848298269947794	0.00626959247648903
cproductos	0.00480180686311872	0.0894156345314001	0.0407523510971787
mactivos_margen	0.00330798666460678	0.0109283303124338	0.0219435736677116
thomebanking	0.00320390446428998	0.00207058169526144	0.00313479623824451
PC4	0.00307750368398207	0.00735868494639481	0.0156739811912226
cliente_antiguedad	0.00279550320935226	0.0125788618749461	0.0250783699059561
ccomisiones_otras	0.00268486646215805	0.0338538545650588	0.0250783699059561
mpasivos_margen	0.00216572023016722	0.00748985301758784	0.00626959247648903
PC5	0.00191490622995213	0.0030965033949498	0.00940438871473354
PC22	0.00190070286970742	0.00810821678178357	0.0125391849529781
mrentabilidad	0.00154380930098131	0.00532362793708149	0.0188087774294671
mcomisiones_mantenimiento	0.00152184595216381	0.0133155111319141	0.00940438871473354
cliente_edad	0.00146724514179693	0.0191431211520617	0.0188087774294671
Visa_mlimitecompra	0.00138559930350362	0.0153310490830142	0.0125391849529781
mttarjeta_visa_debitos_automaticos	0.00122700326060057	0.00152326730296194	0.00626959247648903
Visa_fechaalta	0.00119070172060922	0.00429302166342195	0.0125391849529781
mtransferencias_recibidas	0.00115459631994319	0.00565467116437819	0.0125391849529781
Visa_mpagominimo	0.00102296456519155	0.00759994050591057	0.00940438871473354
Master_Fvencimiento	0.000912307372642306	0.000774906611065979	0.00313479623824451
PC16	0.000814410418304817	0.00212679658291559	0.00626959247648903
Master_mfinanciacion_limite	0.00075053086379429	0.00478021735642464	0.0125391849529781
mcuenta_corriente	0.000686849210963433	0.00118246454655861	0.00626959247648903
PC7	0.000682562944925751	0.00240904216467917	0.00626959247648903
PC20	0.000663001717394998	0.010740166591258	0.0156739811912226
Visa_mfinanciacion_limite	0.000657967200138468	0.00618637031010709	0.0156739811912226
PC23	0.000609798376710661	0.0330278080214741	0.0344827586206897
PC21	0.000380586843911431	0.00280176561592974	0.00626959247648903
Visa_mconsumototal	0.000374503909311897	0.00851460357378341	0.00940438871473354
ccomisiones_mantenimiento	0.000335889499010836	0.0109896201552234	0.00313479623824451
PC8	0.000287500349281917	0.00349820561297846	0.00940438871473354
PC18	0.000247897986659912	0.00276467940532457	0.00940438871473354
Visa_Fvencimiento	0.000246386591501378	0.00120901046572863	0.00626959247648903
Master_mpagominimo	0.000222652676317811	0.00193863286173987	0.00626959247648903
Master_mlimitecompra	0.000160615892752967	0.00136789559958448	0.00626959247648903
numero_de_cliente	0.000124465924458746	0.00440896486920865	0.00940438871473354
PC14	9.26496680448915e-05	0.000819019682627921	0.00313479623824451
PC6	8.93799708673634e-05	0.000937305175400209	0.00313479623824451
PC19	8.25606169996211e-05	0.0187261940686267	0.0250783699059561
PC17	5.08967198315964e-05	0.00719082104576087	0.00940438871473354
Visa_cconsumos	2.62583895082853e-05	0.00748087425080975	0.00940438871473354
PC15	2.07837597155296e-05	0.0119050639854247	0.0156739811912226
Master_fultimo_cierre	2.07289378024506e-05	0.00292629720733027	0.00940438871473354
mcomisiones	2.04013255226164e-05	0.00766669568499988	0.00940438871473354
PC2	5.03331832132252e-06	0.00550554555962897	0.00940438871473354
Master_cconsumos	6.64252569605381e-13	0.000600796611803799	0.00313479623824451
