fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241114.144118	1	59	1	968467	1600	4.439	4.439
20241114.144154	1	59	1	968467	1800	4.419	4.419
20241114.144229	1	59	1	968467	2000	5.079	5.079
20241114.144303	1	59	1	968467	2200	5.339	5.339
20241114.144338	1	59	1	968467	2400	5.909	5.909
20241114.144412	1	59	1	541129	1600	5.959	5.959
20241114.144447	1	59	1	541129	1800	5.399	5.399
20241114.144522	1	59	1	541129	2000	4.799	4.799
20241114.144556	1	59	1	541129	2200	4.289	4.289
20241114.144630	1	59	1	541129	2400	3.709	3.709
20241114.144704	1	59	1	561529	1600	6.449	6.449
20241114.144738	1	59	1	561529	1800	6.599	6.599
20241114.144813	1	59	1	561529	2000	5.969	5.969
20241114.144847	1	59	1	561529	2200	6.189	6.189
20241114.144921	1	59	1	561529	2400	5.689	5.689
20241114.144955	1	59	1	180539	1600	5.779	5.779
20241114.145030	1	59	1	180539	1800	5.519	5.519
20241114.145104	1	59	1	180539	2000	6.599	6.599
20241114.145139	1	59	1	180539	2200	6.459	6.459
20241114.145213	1	59	1	180539	2400	6.229	6.229
20241114.145248	1	59	1	186551	1600	6.139	6.139
20241114.145323	1	59	1	186551	1800	5.939	5.939
20241114.145357	1	59	1	186551	2000	5.369	5.369
20241114.145431	1	59	1	186551	2200	4.909	4.909
20241114.145506	1	59	1	186551	2400	4.349	4.349
20241114.145541	1	59	1	643043	1600	4.689	4.689
20241114.145615	1	59	1	643043	1800	4.499	4.499
20241114.145650	1	59	1	643043	2000	5.049	5.049
20241114.145725	1	59	1	643043	2200	4.419	4.419
20241114.145759	1	59	1	643043	2400	4.549	4.549
20241114.145834	1	59	1	934469	1600	5.799	5.799
20241114.145908	1	59	1	934469	1800	6.079	6.079
20241114.145942	1	59	1	934469	2000	5.999	5.999
20241114.150016	1	59	1	934469	2200	5.809	5.809
20241114.150051	1	59	1	934469	2400	5.979	5.979
20241114.150125	1	59	1	433549	1600	5.729	5.729
20241114.150159	1	59	1	433549	1800	5.489	5.489
20241114.150234	1	59	1	433549	2000	5.299	5.299
20241114.150308	1	59	1	433549	2200	5.149	5.149
20241114.150343	1	59	1	433549	2400	5.089	5.089
20241114.150418	1	59	1	596693	1600	5.399	5.399
20241114.150453	1	59	1	596693	1800	5.249	5.249
20241114.150527	1	59	1	596693	2000	5.489	5.489
20241114.150602	1	59	1	596693	2200	5.649	5.649
20241114.150656	1	59	1	596693	2400	5.359	5.359
20241114.150730	1	59	1	205453	1600	5.019	5.019
20241114.150805	1	59	1	205453	1800	5.209	5.209
20241114.150839	1	59	1	205453	2000	4.589	4.589
20241114.150914	1	59	1	205453	2200	4.749	4.749
20241114.150948	1	59	1	205453	2400	5.489	5.489
20241114.151023	1	59	1	217979	1600	2.879	2.879
20241114.151058	1	59	1	217979	1800	4.269	4.269
20241114.151132	1	59	1	217979	2000	4.519	4.519
20241114.151207	1	59	1	217979	2200	5.169	5.169
20241114.151242	1	59	1	217979	2400	4.569	4.569
20241114.151316	1	59	1	808937	1600	3.429	3.429
20241114.151351	1	59	1	808937	1800	4.389	4.389
20241114.151425	1	59	1	808937	2000	4.629	4.629
20241114.151500	1	59	1	808937	2200	4.839	4.839
20241114.151534	1	59	1	808937	2400	5.819	5.819
20241114.151609	1	59	1	628757	1600	5.609	5.609
20241114.151643	1	59	1	628757	1800	5.319	5.319
20241114.151718	1	59	1	628757	2000	4.769	4.769
20241114.151752	1	59	1	628757	2200	4.699	4.699
20241114.151827	1	59	1	628757	2400	4.919	4.919
20241114.151902	1	59	1	137353	1600	6.419	6.419
20241114.151936	1	59	1	137353	1800	5.889	5.889
20241114.152011	1	59	1	137353	2000	5.449	5.449
20241114.152045	1	59	1	137353	2200	4.759	4.759
20241114.152120	1	59	1	137353	2400	4.919	4.919
20241114.152154	1	59	1	564391	1600	5.189	5.189
20241114.152229	1	59	1	564391	1800	5.739	5.739
20241114.152304	1	59	1	564391	2000	6.319	6.319
20241114.152338	1	59	1	564391	2200	5.759	5.759
20241114.152413	1	59	1	564391	2400	5.179	5.179
20241114.152447	1	59	1	291077	1600	4.859	4.859
20241114.152521	1	59	1	291077	1800	4.769	4.769
20241114.152555	1	59	1	291077	2000	4.549	4.549
20241114.152630	1	59	1	291077	2200	4.809	4.809
20241114.152704	1	59	1	291077	2400	5.399	5.399
20241114.152738	1	59	1	340451	1600	4.529	4.529
20241114.152812	1	59	1	340451	1800	4.299	4.299
20241114.152846	1	59	1	340451	2000	4.139	4.139
20241114.152921	1	59	1	340451	2200	3.509	3.509
20241114.152956	1	59	1	340451	2400	3.769	3.769
20241114.153030	1	59	1	692641	1600	5.469	5.469
20241114.153105	1	59	1	692641	1800	4.819	4.819
20241114.153139	1	59	1	692641	2000	4.539	4.539
20241114.153214	1	59	1	692641	2200	5.209	5.209
20241114.153248	1	59	1	692641	2400	5.109	5.109
20241114.153323	1	59	1	974747	1600	6.139	6.139
20241114.153358	1	59	1	974747	1800	5.639	5.639
