rank	iteracion_bayesiana	isem	semilla	campo	archivo_pred
1	59	1	968467	m_1_1	tb_future_prediccion.txt
1	59	2	541129	m_1_2	tb_future_prediccion.txt
1	59	3	561529	m_1_3	tb_future_prediccion.txt
1	59	4	180539	m_1_4	tb_future_prediccion.txt
1	59	5	186551	m_1_5	tb_future_prediccion.txt
1	59	6	643043	m_1_6	tb_future_prediccion.txt
1	59	7	934469	m_1_7	tb_future_prediccion.txt
1	59	8	433549	m_1_8	tb_future_prediccion.txt
1	59	9	596693	m_1_9	tb_future_prediccion.txt
1	59	10	205453	m_1_10	tb_future_prediccion.txt
1	59	11	217979	m_1_11	tb_future_prediccion.txt
1	59	12	808937	m_1_12	tb_future_prediccion.txt
1	59	13	628757	m_1_13	tb_future_prediccion.txt
1	59	14	137353	m_1_14	tb_future_prediccion.txt
1	59	15	564391	m_1_15	tb_future_prediccion.txt
1	59	16	291077	m_1_16	tb_future_prediccion.txt
1	59	17	340451	m_1_17	tb_future_prediccion.txt
1	59	18	692641	m_1_18	tb_future_prediccion.txt
1	59	19	974747	m_1_19	tb_future_prediccion.txt
1	59	20	578999	m_1_20	tb_future_prediccion.txt
