Feature	Gain	Cover	Frequency
PC3	0.189239621802072	0.104448562414239	0.056875
Visa_msaldototal	0.150532026406484	0.0476813930665733	0.0334027777777778
PC1	0.105543039369186	0.0906680378536756	0.0522222222222222
PC11	0.0286046768995975	0.0351912788212213	0.0364583333333333
PC18	0.0266004340210532	0.027985277087851	0.0339583333333333
foto_mes	0.022068735367867	0.0315487519217771	0.0246527777777778
PC5	0.0219262356630198	0.0256664493385989	0.0249305555555556
PC12	0.0202027963040981	0.0236431241213229	0.0251388888888889
PC14	0.0199389124120738	0.0146878703760826	0.0231944444444444
Visa_fechaalta	0.0193656825971701	0.0192848617910351	0.025
PC4	0.0185203913559802	0.0214845780868626	0.0286805555555556
Master_fechaalta	0.0182492768242145	0.0230581252478233	0.0239583333333333
PC6	0.0181355546275936	0.0494531784841408	0.0427083333333333
PC9	0.0173158567857175	0.0139846161351279	0.0220138888888889
PC23	0.0166967888061773	0.0194619017283968	0.0276388888888889
PC7	0.0165141222422853	0.0170167367524773	0.0261805555555556
PC19	0.0158347264756603	0.0161908040332248	0.0197916666666667
Visa_status	0.0157787328874142	0.0126521488980815	0.00298611111111111
PC15	0.0155991681880189	0.0300513692347706	0.0290277777777778
PC8	0.0150306296379517	0.0297597734443219	0.0220833333333333
Master_Fvencimiento	0.0148630945163577	0.0220234128641729	0.0243055555555556
PC17	0.0137737985167673	0.0172722172653788	0.0261111111111111
Visa_Fvencimiento	0.0133369305900491	0.0181233161944016	0.0239583333333333
numero_de_cliente	0.0133294540717973	0.022209818789701	0.0248611111111111
PC13	0.0129914061436848	0.0186727942944996	0.024375
PC2	0.0129738767811057	0.021703396378403	0.0284722222222222
PC20	0.011494140852412	0.00915510905312272	0.0167361111111111
PC21	0.0114507131267181	0.0114114934840987	0.0195138888888889
PC16	0.0113656824483475	0.0211799099995461	0.0183333333333333
PC22	0.0113407761718471	0.0123619595345828	0.0189583333333333
Visa_mpagominimo	0.0109980290582824	0.0280991093444637	0.0292361111111111
Master_mfinanciacion_limite	0.0102692612254307	0.00860835887776098	0.0172222222222222
Visa_mfinanciacion_limite	0.0101678592481898	0.0113445081541509	0.0161805555555556
Visa_mconsumototal	0.00936474578524572	0.00991152215618433	0.0188194444444444
Visa_cconsumos	0.00856423862935287	0.0133205210329452	0.0184722222222222
Master_mpagominimo	0.00754732228827782	0.0101519328382892	0.00826388888888889
PC10	0.00717433072830936	0.0160723414386103	0.0229166666666667
Visa_mlimitecompra	0.00605678725361392	0.0229837476834721	0.00993055555555556
Visa_fultimo_cierre	0.00571966487882884	0.00539448985021757	0.0101388888888889
Master_msaldototal	0.00529761592878609	0.00676237594566925	0.00777777777777778
Master_fultimo_cierre	0.00488131972452604	0.00502143000600347	0.00951388888888889
Master_status	0.00479776540235743	0.00853139946683509	0.00180555555555556
Master_mlimitecompra	0.0046957666567956	0.00777219389287293	0.00895833333333333
Master_mconsumototal	0.00348325771712241	0.005678931207921	0.00868055555555556
Master_cconsumos	0.0023647535821591	0.012314871409093	0.00555555555555556
