Feature	Gain	Cover	Frequency
PC3	0.247954200102418	0.166909539461968	0.0916289592760181
PC1	0.155486137003317	0.118335750509667	0.0712669683257919
Visa_mconsumototal	0.115658495868838	0.0218353520750655	0.0271493212669683
Visa_msaldototal	0.106383523435248	0.0523437561668801	0.0373303167420815
PC12	0.0476921074320074	0.0352629543227796	0.0384615384615385
PC11	0.0296227234844418	0.0631352788955574	0.0588235294117647
PC2	0.0284306468286278	0.0232402215061502	0.0316742081447964
PC18	0.0262898839512475	0.0456755839391676	0.0418552036199095
PC7	0.0218070019272318	0.0247654203047048	0.0305429864253394
foto_mes	0.0202992725102163	0.0414497128171184	0.0316742081447964
PC19	0.0194777173835429	0.0294262098925372	0.0373303167420815
PC9	0.0182687529008698	0.016882787836992	0.0271493212669683
Master_fechaalta	0.0181264008760803	0.0148090796497626	0.0203619909502262
PC14	0.0101329517341966	0.00718770630470053	0.0135746606334842
PC4	0.0100529063487603	0.0174460255402452	0.0169683257918552
Master_Fvencimiento	0.00998312608486597	0.0142445905210878	0.0226244343891403
Visa_mpagominimo	0.0094888091936094	0.0176775392432573	0.0237556561085973
PC6	0.00868097850313002	0.0296163302931397	0.0271493212669683
Visa_fechaalta	0.00850628233955716	0.0227934626306079	0.0282805429864253
PC5	0.00820988462013844	0.0340566764797672	0.0260180995475113
Master_mpagominimo	0.00763238208612	0.0128656159698826	0.0124434389140271
PC20	0.00700193493797881	0.00885142827108647	0.0203619909502262
PC17	0.00672729988362304	0.0106382712462676	0.0214932126696833
PC23	0.00583546541194118	0.0256947480755484	0.0271493212669683
PC15	0.00572431819652143	0.0200805648433783	0.0260180995475113
PC8	0.00564215306411075	0.0115321740513281	0.0135746606334842
PC13	0.00554178221666634	0.012036402232774	0.0158371040723982
PC21	0.00544621109051186	0.0121317993553041	0.0226244343891403
Visa_mfinanciacion_limite	0.00515701120451668	0.0168902001260282	0.0192307692307692
Master_mlimitecompra	0.00463411359710517	0.00894181969192987	0.0147058823529412
Visa_cconsumos	0.00408194110248583	0.00627378069289308	0.0113122171945701
Visa_mlimitecompra	0.00269405841545395	0.0120950267006053	0.00791855203619909
numero_de_cliente	0.00258640547981342	0.00911114717783352	0.0169683257918552
Master_mfinanciacion_limite	0.00211594374990009	0.00415020801578413	0.0124434389140271
PC22	0.00210892601721763	0.00639863444457986	0.00904977375565611
Visa_fultimo_cierre	0.00150459264946261	0.00398232448229012	0.00791855203619909
PC16	0.0014691283205504	0.00680467386217031	0.00678733031674208
Visa_Fvencimiento	0.00145964296488059	0.0039080090649407	0.00791855203619909
Master_fultimo_cierre	0.00128386626917649	0.00361700452265147	0.00904977375565611
PC10	0.000326505574372093	0.00271366789518138	0.00565610859728507
Master_msaldototal	0.000235680769115044	0.00149506832494012	0.00226244343891403
Master_cconsumos	0.000199150458201075	0.00150142171554253	0.00226244343891403
Master_mconsumototal	3.9684011931066e-05	0.0011920308459039	0.00339366515837104
