fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241112.215350	1	32	1	968467	1600	5.009	5.009
20241112.215424	1	32	1	968467	1800	4.919	4.919
20241112.215537	1	32	1	968467	2000	5.559	5.559
20241112.215651	1	32	1	968467	2200	5.359	5.359
20241112.215804	1	32	1	968467	2400	5.459	5.459
20241112.215918	1	32	1	541129	1600	5.809	5.809
20241112.220031	1	32	1	541129	1800	6.059	6.059
20241112.220145	1	32	1	541129	2000	5.779	5.779
20241112.220258	1	32	1	541129	2200	5.179	5.179
20241112.220412	1	32	1	541129	2400	5.789	5.789
20241112.220525	1	32	1	561529	1600	5.349	5.349
20241112.220639	1	32	1	561529	1800	5.169	5.169
20241112.220752	1	32	1	561529	2000	5.409	5.409
20241112.220906	1	32	1	561529	2200	5.219	5.219
20241112.221019	1	32	1	561529	2400	5.039	5.039
20241112.221133	1	32	1	180539	1600	4.929	4.929
20241112.221247	1	32	1	180539	1800	5.889	5.889
20241112.221400	1	32	1	180539	2000	6.109	6.109
20241112.221514	1	32	1	180539	2200	5.989	5.989
20241112.221627	1	32	1	180539	2400	5.449	5.449
20241112.221741	1	32	1	186551	1600	4.929	4.929
20241112.221855	1	32	1	186551	1800	6.069	6.069
20241112.222008	1	32	1	186551	2000	6.259	6.259
20241112.222122	1	32	1	186551	2200	6.399	6.399
20241112.222235	1	32	1	186551	2400	5.899	5.899
20241112.222320	1	32	1	643043	1600	4.469	4.469
20241112.222354	1	32	1	643043	1800	4.739	4.739
20241112.222427	1	32	1	643043	2000	4.929	4.929
20241112.222501	1	32	1	643043	2200	5.589	5.589
20241112.222535	1	32	1	643043	2400	5.729	5.729
20241112.222609	1	32	1	934469	1600	5.219	5.219
20241112.222642	1	32	1	934469	1800	6.289	6.289
20241112.222716	1	32	1	934469	2000	5.739	5.739
20241112.222750	1	32	1	934469	2200	5.529	5.529
20241112.222824	1	32	1	934469	2400	4.939	4.939
20241112.222858	1	32	1	433549	1600	4.819	4.819
20241112.222931	1	32	1	433549	1800	5.499	5.499
20241112.223005	1	32	1	433549	2000	6.109	6.109
20241112.223039	1	32	1	433549	2200	5.639	5.639
20241112.223113	1	32	1	433549	2400	5.929	5.929
20241112.223147	1	32	1	596693	1600	5.759	5.759
20241112.223221	1	32	1	596693	1800	5.199	5.199
20241112.223254	1	32	1	596693	2000	5.099	5.099
20241112.223327	1	32	1	596693	2200	4.799	4.799
20241112.223401	1	32	1	596693	2400	4.659	4.659
20241112.223435	1	32	1	205453	1600	5.349	5.349
20241112.223508	1	32	1	205453	1800	5.629	5.629
20241112.223542	1	32	1	205453	2000	5.519	5.519
20241112.223616	1	32	1	205453	2200	4.849	4.849
20241112.223650	1	32	1	205453	2400	5.049	5.049
20241112.223724	1	32	1	217979	1600	4.479	4.479
20241112.223757	1	32	1	217979	1800	5.079	5.079
20241112.223831	1	32	1	217979	2000	5.379	5.379
20241112.223905	1	32	1	217979	2200	4.779	4.779
20241112.224019	1	32	1	217979	2400	5.079	5.079
20241112.224132	1	32	1	808937	1600	4.869	4.869
20241112.224247	1	32	1	808937	1800	5.479	5.479
20241112.224401	1	32	1	808937	2000	6.109	6.109
20241112.224514	1	32	1	808937	2200	6.429	6.429
20241112.224628	1	32	1	808937	2400	5.879	5.879
20241112.224741	1	32	1	628757	1600	4.549	4.549
20241112.224855	1	32	1	628757	1800	5.149	5.149
20241112.225008	1	32	1	628757	2000	5.369	5.369
20241112.225122	1	32	1	628757	2200	5.599	5.599
20241112.225235	1	32	1	628757	2400	4.909	4.909
20241112.225349	1	32	1	137353	1600	5.799	5.799
20241112.225503	1	32	1	137353	1800	5.189	5.189
20241112.225616	1	32	1	137353	2000	5.429	5.429
20241112.225730	1	32	1	137353	2200	4.899	4.899
20241112.225843	1	32	1	137353	2400	4.169	4.169
20241112.225957	1	32	1	564391	1600	5.809	5.809
20241112.230110	1	32	1	564391	1800	5.229	5.229
20241112.230219	1	32	1	564391	2000	4.949	4.949
20241112.230253	1	32	1	564391	2200	4.809	4.809
20241112.230327	1	32	1	564391	2400	5.079	5.079
20241112.230401	1	32	1	291077	1600	5.039	5.039
20241112.230435	1	32	1	291077	1800	4.889	4.889
20241112.230509	1	32	1	291077	2000	5.469	5.469
20241112.230542	1	32	1	291077	2200	5.279	5.279
20241112.230616	1	32	1	291077	2400	5.839	5.839
20241112.230650	1	32	1	340451	1600	5.649	5.649
20241112.230724	1	32	1	340451	1800	5.049	5.049
20241112.230758	1	32	1	340451	2000	4.529	4.529
20241112.230832	1	32	1	340451	2200	5.039	5.039
20241112.230906	1	32	1	340451	2400	4.889	4.889
20241112.230940	1	32	1	692641	1600	6.089	6.089
20241112.231014	1	32	1	692641	1800	5.899	5.899
20241112.231047	1	32	1	692641	2000	5.399	5.399
20241112.231121	1	32	1	692641	2200	5.669	5.669
20241112.231154	1	32	1	692641	2400	5.539	5.539
20241112.231228	1	32	1	974747	1600	4.869	4.869
20241112.231302	1	32	1	974747	1800	5.539	5.539
20241112.231336	1	32	1	974747	2000	5.319	5.319
20241112.231410	1	32	1	974747	2200	5.169	5.169
20241112.231444	1	32	1	974747	2400	4.659	4.659
20241112.231518	1	32	1	578999	1600	4.299	4.299
20241112.231552	1	32	1	578999	1800	4.149	4.149
20241112.231626	1	32	1	578999	2000	5.439	5.439
20241112.231659	1	32	1	578999	2200	5.339	5.339
20241112.231733	1	32	1	578999	2400	5.009	5.009
20241112.231734	1	32	20	-1	1600	5.1545	5.1545
20241112.231734	1	32	20	-1	1800	5.3555	5.3555
20241112.231735	1	32	20	-1	2000	5.495	5.495
20241112.231736	1	32	20	-1	2200	5.378	5.378
20241112.231736	1	32	20	-1	2400	5.2495	5.2495
