Feature	Gain	Cover	Frequency
rf_006_000	0.120360356099563	0.000968000478925343	0.000778782873623223
cdescubierto_preacordado_tend6	0.0258014396090554	0.00702802481242764	0.000693202338060232
PC15	0.022293098937346	0.00333066603860489	0.00501501938399131
rf_015_001	0.0187289976801282	0.000471956046410389	0.000547715427603146
cpayroll_trx	0.0143057868581316	0.00206232052329989	0.000385112410033462
mprestamos_personales_rank	0.0135875418082763	0.0095893719241856	0.00156612380080275
PC1	0.0133651515981702	0.00467898783815664	0.00690634921993342
mrentabilidad_annual_rank	0.0111356526750418	0.00452111707844671	0.00467269724173934
PC2	0.0104389183911034	0.00468208009726498	0.0090886528767897
rf_015_002	0.00985185310073741	0.000306874700688743	0.000171161071125983
PC47	0.0090361267534069	0.0047770561808077	0.00635007573877397
foto_mes	0.00860462981024475	0.00639287713419515	0.00265299660245274
internet_tend6	0.00805185030725019	0.0200361007976049	0.00469837140240824
cproductos_tend6	0.00790592124198207	0.00465365630142064	0.00196835231794881
mcaja_ahorro_rank_tend6	0.0076050994178972	0.00321650545461427	0.00481818415219643
mpasivos_margen_rank_tend6	0.00699204373388027	0.00412445129433631	0.0050578096517728
cliente_edad_lag1	0.0064166513734749	0.00828527645774473	0.00569110561493894
rf_010_005	0.00621190789132885	0.000168783467043021	0.000350880195808265
mcomisiones_mantenimiento_rank_tend6	0.0059985827428292	0.00671783296105905	0.0060676599714161
mcuentas_saldo_rank	0.00576445971258984	0.0066309600019525	0.00624737909609838
mrentabilidad_annual_rank_delta1	0.00575708318870082	0.00493642543678755	0.00619603077476059
mcuenta_corriente_rank	0.00564638207362621	0.00928881761370466	0.00576812809694563
mpayroll_rank	0.0056200580101418	0.00145396461527121	0.000667528177391334
mrentabilidad_annual_rank_tend6	0.00548456322385834	0.00771854969752533	0.00695769754127121
Master_mfinanciacion_limite_rank_tend6	0.0054381294814335	0.00745513997827305	0.00632440157810508
Visa_mfinanciacion_limite_rank_tend6	0.00518690173528363	0.00492979738241594	0.0070860683446157
PC58	0.00512980720398845	0.00390040931320195	0.00593073111451531
PC3	0.00509705240415455	0.00226534451297967	0.00554561870448185
numero_de_cliente	0.00506789560544414	0.00819740007617499	0.00771080625422554
rf_012_014	0.00477518443860387	0.00242800749343402	0.000830131194961018
chomebanking_transacciones_tend6	0.00477368345661573	0.00377755682614695	0.00494655495554091
mrentabilidad_annual_rank_lag1	0.00468875581883907	0.00497879172919235	0.00524608683001138
PC19	0.00468579618231922	0.00434808331687675	0.00598207943585311
mactivos_margen_rank_delta1	0.00459845006301003	0.00469523937769269	0.00494655495554091
PC35	0.00455815282293293	0.00336562184137884	0.00436460731371257
mcuentas_saldo_rank_tend6	0.00446589843386845	0.00436875616223892	0.00652979486345626
