rank	iteracion_bayesiana	semilla	isem	archivo
1	5	968467	1	modelo_01_005_s968467.model
1	5	541129	2	modelo_01_005_s541129.model
1	5	561529	3	modelo_01_005_s561529.model
1	5	180539	4	modelo_01_005_s180539.model
1	5	186551	5	modelo_01_005_s186551.model
1	5	643043	6	modelo_01_005_s643043.model
1	5	934469	7	modelo_01_005_s934469.model
1	5	433549	8	modelo_01_005_s433549.model
1	5	596693	9	modelo_01_005_s596693.model
1	5	205453	10	modelo_01_005_s205453.model
1	5	217979	11	modelo_01_005_s217979.model
1	5	808937	12	modelo_01_005_s808937.model
1	5	628757	13	modelo_01_005_s628757.model
1	5	137353	14	modelo_01_005_s137353.model
1	5	564391	15	modelo_01_005_s564391.model
1	5	291077	16	modelo_01_005_s291077.model
1	5	340451	17	modelo_01_005_s340451.model
1	5	692641	18	modelo_01_005_s692641.model
1	5	974747	19	modelo_01_005_s974747.model
1	5	578999	20	modelo_01_005_s578999.model
