fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241115.001011	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	376	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.154596327384011	0.702882144541826	1417	1411	2671	1	11609244.3890274	11609244.3890274	1
20241115.001049	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	342	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.203844974735345	0.766238298995319	1275	686	2896	1	11934643.3915212	11934643.3915212	2
20241115.001106	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	30	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0938781666538349	0.609920130475281	792	1703	2352	1	11859411.4713217	11859411.4713217	3
20241115.001129	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	15	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0670463394264548	0.651274005606536	663	516	3011	1	11688695.7605985	11688695.7605985	4
20241115.001205	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	227	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.182210397469407	0.787143593095445	644	395	2693	1	12421847.8802993	12421847.8802993	5
20241115.001239	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	385	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.22765059474479	0.849027676303582	1066	810	2297	1	11650945.1371571	11650945.1371571	6
20241115.001301	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	68	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0320905838807443	0.638449106754832	1304	1128	3064	1	11637725.6857855	11637725.6857855	7
20241115.001340	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	260	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.12851118360188	0.530256377071684	1603	357	2281	1	11726775.5610973	11726775.5610973	8
20241115.001402	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	45	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0392104781298617	0.739338602610498	306	1339	2819	1	12077064.8379052	12077064.8379052	9
20241115.001419	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.246010977315084	0.814351460246859	1931	1235	2138	1	11966947.6309227	11966947.6309227	10
20241115.001443	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	55	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.25623026106702	0.898741084119106	470	222	2772	1	11223052.3690773	11223052.3690773	11
20241115.001459	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0830145127866461	0.854577154480398	1759	1587	2590	1	11875286.7830424	11875286.7830424	12
20241115.001523	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	153	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.265802080512939	0.567377813786637	45	1927	2514	1	11469172.0698254	11469172.0698254	13
20241115.001539	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.297877831504701	0.58152547624947	1820	1788	2583	1	11919927.680798	11919927.680798	14
20241115.001611	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	117	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.121973133399829	0.507223398326306	164	92	2017	1	12381718.2044888	12381718.2044888	15
20241115.001630	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.167805566579583	0.682218617125524	937	901	3274	1	11365930.1745636	11365930.1745636	16
20241115.001716	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	498	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0628641819401733	0.783923076196032	416	571	1896	1	11930154.6134663	11930154.6134663	17
20241115.001743	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	106	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.194141974345656	0.789190590300246	460	23	2704	1	10998523.6907731	10998523.6907731	18
20241115.001832	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	582	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0708199389579024	0.680907319030241	601	550	1833	1	11213019.9501247	11213019.9501247	19
20241115.001922	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	582	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0708199389579024	0.680907319030241	601	550	1833	1	11213019.9501247	11213019.9501247	20
20241115.001957	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	30	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.100958347835386	0.755231010018021	1943	1761	2914	1	11527526.1845387	11527526.1845387	21
20241115.002038	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0856539067633945	0.890506670998919	24	1307	2917	1	11576581.0473815	11576581.0473815	22
20241115.002201	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	187	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.201013960893188	0.657693885672448	1316	792	1980	1	10831271.8204489	10831271.8204489	23
20241115.002252	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	71	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.123196038484283	0.506933244227946	171	88	3495	1	11802082.2942643	11802082.2942643	24
20241115.002323	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	71	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.123196038484283	0.506933244227946	171	88	3495	1	11802082.2942643	11802082.2942643	25
20241115.002353	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	71	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.123196038484283	0.506933244227946	171	88	3495	1	11802082.2942643	11802082.2942643	26
20241115.002416	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.238445140074563	0.573493615104321	1458	586	2323	1	12314790.5236908	12314790.5236908	27
20241115.002439	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.23911346096835	0.574093539919964	1487	639	3302	1	11812503.7406484	11812503.7406484	28
20241115.002501	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.242064208071495	0.574014391147296	1496	619	3156	1	11810603.4912718	11810603.4912718	29
20241115.002522	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.241953884105404	0.574105503914421	1493	647	2520	1	11712718.2044888	11712718.2044888	30
20241115.002611	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	469	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.114367445487456	0.507437658846786	173	54	2566	1	12262099.7506234	12262099.7506234	31
20241115.002645	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.108799453916024	0.507859613321391	173	37	2602	1	11713301.7456359	11713301.7456359	32
20241115.002718	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	128	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.119761037669358	0.50687632411768	173	46	2379	1	11993573.5660848	11993573.5660848	33
20241115.002742	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	85	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.28236867004322	0.689911536871269	431	271	2421	1	11537798.0049875	11537798.0049875	34
20241115.002813	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	372	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0892884205138756	0.582752067613422	37	642	3275	1	11919239.4014963	11919239.4014963	35
20241115.002836	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.191462322752607	0.583049586578532	1375	501	2487	1	12114561.0972569	12114561.0972569	36
20241115.002857	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.2525663182626	0.518700971033751	653	1176	2499	1	11651827.9301746	11651827.9301746	37
20241115.002916	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.245375506689424	0.515827265285717	1094	1676	3003	1	10975638.40399	10975638.40399	38
20241115.003003	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	383	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.103998986975139	0.507293889173707	176	80	1966	1	11694718.2044888	11694718.2044888	39
20241115.003025	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.247050866842427	0.787082035134684	937	371	2819	1	10921952.6184539	10921952.6184539	40
20241115.003042	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	94	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.294022626742056	0.667606423081955	715	1974	3038	1	10815276.80798	10815276.80798	41
20241115.003108	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.14633541381901	0.582712679706947	1285	449	2834	1	11578698.2543641	11578698.2543641	42
20241115.003137	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	89	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.243451894023519	0.531138655827297	1564	155	1893	1	11038705.7356608	11038705.7356608	43
20241115.003216	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	360	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0814920301665324	0.506793355106054	111	1068	1889	1	11806615.9600998	11806615.9600998	44
20241115.003243	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	109	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.203821759406749	0.82630942281493	1202	367	3035	1	12197842.8927681	12197842.8927681	45
20241115.003300	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.2345343138288	0.734381864525803	740	1109	1940	1	11726334.1645885	11726334.1645885	46
20241115.003333	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	145	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.194059973633912	0.706847209346252	1118	186	2751	1	11285453.8653367	11285453.8653367	47
20241115.003350	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.083700234230498	0.891820800744073	1105	1397	3124	1	11453536.159601	11453536.159601	48
20241115.003408	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.142715604703269	0.89685421452077	838	1125	2260	1	11853216.957606	11853216.957606	49
20241115.003435	691	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	147	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.288994545229419	0.710786647932516	1135	402	1766	1	11081850.3740648	11081850.3740648	50
