Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.109186610864346	0.00161899673909929	0.00184622485480211
ctrx_quarter	0.0525844592207437	0.00363383635068022	0.00430785799453825
rf_006_000	0.027723427599694	0.00038427826807701	0.000230778106850264
PC15	0.0198117239716803	0.00344728365614241	0.00553867456440632
rf_015_001	0.0152603518032249	0.000241059108146849	3.84630178083772e-05
mprestamos_personales_rank	0.0136480121370356	0.0122211797055129	0.00265394822877803
cpayroll_trx	0.0127533847106282	0.00211992647975762	0.00042309319589215
rf_002_003	0.0111174817166053	0.000845178025028372	0.000192315089041886
mcuentas_saldo_rank	0.0107115362723582	0.00765270395271258	0.00607715681372361
PC3	0.0100940124557142	0.00222594478389313	0.00430785799453825
mcuentas_saldo_rank_tend6	0.00938185190381176	0.00543455450434399	0.00711565829454979
PC4	0.00886661740588825	0.00282565026123144	0.0033847455671372
ccomisiones_mantenimiento_tend6	0.00747689473099692	0.00318605939473751	0.00138466864110158
rf_008_003	0.00673405406248456	0.000234826321730803	3.84630178083772e-05
numero_de_cliente	0.0065630076950406	0.00678712138667972	0.00969268048771107
mrentabilidad_annual_rank_lag1	0.0062001977592746	0.00465646598337772	0.00503865533289742
mcaja_ahorro_rank	0.00591743978021551	0.00244092803769742	0.00426939497672987
PC2	0.00566038892262948	0.00243993566667588	0.00315396746028693
mpayroll_rank	0.00556398408812562	0.00140541934424219	0.000653871302742413
Master_fechaalta	0.00550294394709424	0.00418202558498759	0.00457709911919689
cliente_edad_lag1	0.00521780085238846	0.0054582756537626	0.006423323973999
mrentabilidad_annual_rank_delta1	0.00521164001558287	0.00661435742633607	0.00650025000961576
mcuentas_saldo_rank_delta1	0.00494716625525276	0.00502756922039233	0.00653871302742413
PC36	0.00490387742089343	0.00242920674313149	0.00453863610138852
mactivos_margen_rank_tend6	0.00485261236470542	0.00607391565000396	0.00653871302742413
PC55	0.00484436915890018	0.0047796592701932	0.00650025000961576
