rank	iteracion_bayesiana	isem	semilla	campo	archivo_pred
1	5	1	968467	m_1_1	tb_future_prediccion.txt
1	5	2	541129	m_1_2	tb_future_prediccion.txt
1	5	3	561529	m_1_3	tb_future_prediccion.txt
1	5	4	180539	m_1_4	tb_future_prediccion.txt
1	5	5	186551	m_1_5	tb_future_prediccion.txt
1	5	6	643043	m_1_6	tb_future_prediccion.txt
1	5	7	934469	m_1_7	tb_future_prediccion.txt
1	5	8	433549	m_1_8	tb_future_prediccion.txt
1	5	9	596693	m_1_9	tb_future_prediccion.txt
1	5	10	205453	m_1_10	tb_future_prediccion.txt
1	5	11	217979	m_1_11	tb_future_prediccion.txt
1	5	12	808937	m_1_12	tb_future_prediccion.txt
1	5	13	628757	m_1_13	tb_future_prediccion.txt
1	5	14	137353	m_1_14	tb_future_prediccion.txt
1	5	15	564391	m_1_15	tb_future_prediccion.txt
1	5	16	291077	m_1_16	tb_future_prediccion.txt
1	5	17	340451	m_1_17	tb_future_prediccion.txt
1	5	18	692641	m_1_18	tb_future_prediccion.txt
1	5	19	974747	m_1_19	tb_future_prediccion.txt
1	5	20	578999	m_1_20	tb_future_prediccion.txt
