Feature	Gain	Cover	Frequency
rf_005_000	0.275877569304448	0.0130755650006221	0.00209205020920502
PC13	0.0609921557037834	0.00211778419228023	0.00537955768081291
ctrx_quarter_normalizado_lag1	0.0559728147764007	0.0152997647094944	0.0113568439928273
PC16	0.0546796079715044	0.00965028688110401	0.00597728631201435
Master_status	0.0234243772412997	4.64012255151843e-05	0.000298864315600717
PC6	0.0177593540893025	0.0101703504817913	0.0068738792588165
PC1	0.0175480332075776	0.0378349919581406	0.0268977884040646
ccomisiones_mantenimiento_tend6	0.0166803611279128	0.00640723473113236	0.00717274357441722
PC19	0.0131015813364072	0.00917413549803046	0.0086670651524208
mpasivos_margen_rank	0.0129943903917877	0.00745969573143766	0.0068738792588165
mpayroll_sobre_edad_rank	0.0117843566103404	0.0218393340115671	0.00358637178720861
cpayroll_trx_lag1	0.0101114334175593	0.00401376857988778	0.000298864315600717
rf_001_000	0.00926205862716945	6.25172040504251e-05	0.000298864315600717
Master_fultimo_cierre_delta1	0.00887169470124126	0.000424202033800338	0.00119545726240287
vm_mpagominimo_rank_lag1	0.00797505729814453	0.00207594383040573	0.00268977884040646
PC2	0.00766867085595494	0.0109908192595927	0.015839808726838
mcuentas_saldo_rank	0.00638134435887666	0.0120180564591535	0.00806933652121937
mprestamos_personales_rank_lag1	0.00623561205217102	0.00793702904563762	0.00298864315600717
mrentabilidad_annual_rank	0.00605744078180153	0.00371147231297136	0.00418410041841004
cdescubierto_preacordado_tend6	0.00590699273252346	0.00337946090703008	0.000597728631201435
rf_018_008	0.00565413965819199	0.0152066007265901	0.00388523610280932
Visa_mpagominimo_rank_lag1	0.00530555002898066	0.00319064393331995	0.00508069336521219
foto_mes	0.00526035000096941	0.00530303295763497	0.00537955768081291
mcaja_ahorro_rank_tend6	0.00501872551002216	0.00465938107634268	0.0068738792588165
PC12	0.00487436143742448	0.00463882937981543	0.00956365809922295
mcomisiones_rank_tend6	0.00454010713159598	0.00265475636061102	0.00597728631201435
Visa_status	0.00438912886036008	0.00339888629271923	0.000597728631201435
PC27	0.00423145645957046	0.00317476434100999	0.00358637178720861
mrentabilidad_annual_rank_lag1	0.00421214585193818	0.00537322576147095	0.00657501494321578
mactivos_margen_rank	0.00400500473634634	0.00496687784021526	0.00508069336521219
mprestamos_personales_rank_tend6	0.00378286468507863	0.0110585230555272	0.00239091452480574
PC25	0.00348252389308682	0.00302852469799435	0.00627615062761506
mcuenta_corriente_rank_lag1	0.00341138791017209	0.00640275729792412	0.00597728631201435
Visa_msaldototal_rank	0.00332240091323862	0.00445464279510637	0.00567842199641363
vm_status01	0.00330188162421823	0.00713142478988463	0.0017931858936043
mrentabilidad_annual_rank_delta1	0.00326212197888307	0.00140377264628706	0.00328750747160789
Master_fechaalta_lag1	0.00319394212831563	0.00437119845758266	0.00657501494321578
PC35	0.00309486023087528	0.00952970209606725	0.0110579796772265
mcomisiones_rank_lag1	0.0030513167850279	0.000981614658081786	0.00209205020920502
cliente_edad_lag1	0.00304388767615277	0.00962631453684624	0.00567842199641363
ctrx_quarter_delta1	0.00303240410914809	0.00461723480288253	0.00478182904961148
cproductos_tend6	0.00298038504111257	0.003980187830826	0.00239091452480574
rf_007_002	0.00297516662536348	0.00350893103312294	0.000597728631201435
kmes_lag1	0.00289029562789502	0.00305038347129668	0.00239091452480574
PC21	0.00287023893837073	0.00523442533201558	0.00567842199641363
PC29	0.00286104736601983	0.00274071751618036	0.00328750747160789
PC48	0.00270441350017065	0.00295887419196931	0.00627615062761506
Master_mfinanciacion_limite_rank_tend6	0.00266952205467582	0.00159776230680919	0.00448296473401076
mpayroll_sobre_edad_rank_tend6	0.00264445323199093	0.0105398221519033	0.00806933652121937
PC28	0.00258293215182954	0.00208092184620868	0.00418410041841004
ctarjeta_visa_transacciones_tend6	0.00256941268793925	0.00179514480491768	0.00239091452480574
vm_status01_tend6	0.00252973440898697	0.00094966080245281	0.000597728631201435
internet_tend6	0.00252208885409065	0.00739389693037747	0.00358637178720861
PC61	0.0025105101928606	0.0165078790866103	0.0104602510460251
PC50	0.00249645466083763	0.00286057923746921	0.00388523610280932
mrentabilidad_annual_rank_tend6	0.00245600019136401	0.00268989447774524	0.00358637178720861
PC11	0.00240514427627133	0.00458422416177584	0.00777047220561865
vm_Fvencimiento_lag1	0.00239907695336146	0.000964511419429201	0.00388523610280932
mcuentas_saldo_rank_tend6	0.00236382552587678	0.00175647479947635	0.00328750747160789
Visa_fechaalta	0.00230811926302829	0.00284018049673478	0.00508069336521219
mcuentas_saldo_rank_delta1	0.00227888470662407	0.0133418332257915	0.0113568439928273
PC7	0.00226506296069964	0.00360091308490087	0.00777047220561865
PC31	0.00219061290059123	0.00533406907850698	0.00537955768081291
chomebanking_transacciones	0.0020690596479317	0.00104450729907824	0.00328750747160789
ctrx_quarter_tend6	0.00204004028147711	0.0125694620922984	0.00836820083682008
Master_Fvencimiento_lag1	0.00201499992318987	0.0028841483346368	0.00448296473401076
cprestamos_personales_delta1	0.00198393514255165	0.00552981077811059	0.00119545726240287
PC66	0.00198219284855673	0.00302685608934532	0.00448296473401076
