rank	iteracion_bayesiana	semilla	isem	archivo
1	48	968467	1	modelo_01_048_s968467.model
1	48	541129	2	modelo_01_048_s541129.model
1	48	561529	3	modelo_01_048_s561529.model
1	48	180539	4	modelo_01_048_s180539.model
1	48	186551	5	modelo_01_048_s186551.model
1	48	643043	6	modelo_01_048_s643043.model
1	48	934469	7	modelo_01_048_s934469.model
1	48	433549	8	modelo_01_048_s433549.model
1	48	596693	9	modelo_01_048_s596693.model
1	48	205453	10	modelo_01_048_s205453.model
1	48	217979	11	modelo_01_048_s217979.model
1	48	808937	12	modelo_01_048_s808937.model
1	48	628757	13	modelo_01_048_s628757.model
1	48	137353	14	modelo_01_048_s137353.model
1	48	564391	15	modelo_01_048_s564391.model
1	48	291077	16	modelo_01_048_s291077.model
1	48	340451	17	modelo_01_048_s340451.model
1	48	692641	18	modelo_01_048_s692641.model
1	48	974747	19	modelo_01_048_s974747.model
1	48	578999	20	modelo_01_048_s578999.model
