Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado_lag1	0.0856701791572034	0.00369027572483592	0.00335516855727752
ctrx_quarter_lag1	0.0438737180170821	0.00356098893271523	0.00551206262981307
rf_002_000	0.0380675624715432	0.000219596271403904	2.66283218831549e-05
PC1	0.0337344044913418	0.0134828655348038	0.0121691431006018
PC16	0.0212743489879224	0.0049435928705526	0.00559194759546254
PC2	0.0201948674285496	0.00370190104684155	0.00700324865526975
mpayroll_sobre_edad_rank	0.0150217706114464	0.00626224483407239	0.00266283218831549
mcuentas_saldo_rank	0.0146260615724241	0.00839187098542116	0.00697662033338659
ccomisiones_mantenimiento_tend6	0.0111393492097996	0.00370146550558627	0.00173084092240507
PC13	0.0107550362675789	0.00583728723129146	0.00434041646695425
PC4	0.00917873696230842	0.00263876299024478	0.0040741332481227
mprestamos_personales_rank_lag1	0.00868297369821992	0.00897436386023844	0.00239654896948394
mpasivos_margen_rank	0.00847740675984193	0.00286944378659567	0.00503275283591628
cliente_edad_lag1	0.00719207730025565	0.00914675108907998	0.00947968259040315
mactivos_margen_rank	0.00652353980551403	0.00624957058354362	0.00428715982318794
mcuentas_saldo_rank_tend6	0.00643835240656762	0.00457713934688774	0.0064973105394898
PC6	0.00618448726125064	0.00357700233286785	0.00572508920487831
mrentabilidad_annual_rank_delta1	0.00585878657267685	0.00461433094057856	0.00615114235500879
numero_de_cliente	0.00579412242159224	0.00723764310479213	0.00916014272780529
mcuentas_saldo_rank_delta1	0.00565496430874024	0.00769920432056925	0.00700324865526975
mtarjeta_visa_consumo_rank	0.00518961835909539	0.00294152223483477	0.00308888533844597
mrentabilidad_annual_rank	0.00505950974707018	0.00586624346574695	0.00559194759546254
PC46	0.00491031528032104	0.00624810426131749	0.00545880598604676
Visa_mlimitecompra_rank_tend6	0.00485167163597337	0.00400437356010515	0.00689673536773713
Master_Fvencimiento_lag1	0.0048323590169288	0.00394228715416436	0.00487298290461735
Master_mfinanciacion_limite_rank_tend6	0.00481592715433152	0.00829757993316257	0.00734941683975076
mrentabilidad_annual_rank_lag1	0.00474582495884273	0.00409237467073535	0.00489961122650051
mrentabilidad_annual_rank_tend6	0.00463839766172169	0.00753800687247806	0.00742930180540022
PC8	0.00443168350623604	0.00250155660629883	0.00418064653565532
PC30	0.00438638774453378	0.00570188108453402	0.00679022208020451
internet_tend6	0.00433306934725856	0.00832924015291128	0.00487298290461735
PC43	0.00426127004308952	0.00428561343717363	0.00665708047078873
mcomisiones_rank_lag1	0.00425282691057266	0.00328677215838821	0.00489961122650051
mcuenta_corriente_rank_tend6	0.00424814021457588	0.00655818785801718	0.00548543430792991
mrentabilidad_rank_tend6	0.00424043066276501	0.0117779102549096	0.00633754060819087
PC17	0.00423582293610227	0.00486484701159719	0.00577834584864462
PC3	0.00420598175500157	0.00243951738399404	0.00420727485753848
cliente_antiguedad_lag1	0.00419050397038936	0.00736993513157429	0.00601800074559301
PC61	0.0041839836967504	0.00663721681878852	0.00652393886137296
PC67	0.0041599712892106	0.00373971328682116	0.0062043989987751
Master_mlimitecompra_rank_tend6	0.00397207785497509	0.00504690325630605	0.00665708047078873
PC9	0.00396494510108973	0.0024007578417842	0.00487298290461735
ctrx_quarter_tend6	0.00396408041422971	0.00391247435524015	0.00497949619214997
mactivos_margen_rank_lag1	0.00393644346977555	0.00556581436687273	0.00463332800766896
ctarjeta_visa_transacciones	0.00390330978950444	0.00371755149594811	0.00276934547584811
mactivos_margen_rank_tend6	0.00386579272311061	0.00531265964174917	0.0059647441018267
PC24	0.00383717657333227	0.00283966002375515	0.0059647441018267
vm_mlimitecompra_rank_tend6	0.00378605325503708	0.00470880709787066	0.00572508920487831
PC19	0.00377248903344652	0.00671211902616605	0.00868083293390851
Visa_mfinanciacion_limite_rank_tend6	0.00374187569688735	0.00499185084163811	0.00644405389572349
mcaja_ahorro_rank_tend6	0.00372958221893563	0.00427529473893385	0.00503275283591628
mcomisiones_mantenimiento_rank_tend6	0.00372310314367036	0.00586001159628592	0.00404750492623955
PC51	0.00371053646365193	0.00794482781148686	0.00694999201150344
Master_fechaalta_lag1	0.00370510526595014	0.00281428248661391	0.00458007136390265
Visa_fechaalta	0.0037027057909244	0.00306058106647721	0.00436704478883741
Visa_mconsumototal_rank_tend6	0.00366681723414805	0.00534628705616758	0.00655056718325611
mtransferencias_recibidas_rank_tend6	0.00363992244678714	0.00330400144454516	0.00468658465143527
