fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241110.213029	1	48	1	968467	1600	4.949	4.949
20241110.213152	1	48	1	968467	1800	4.779	4.779
20241110.213306	1	48	1	968467	2000	4.169	4.169
20241110.213419	1	48	1	968467	2200	3.979	3.979
20241110.213532	1	48	1	968467	2400	3.819	3.819
20241110.213646	1	48	1	541129	1600	4.479	4.479
20241110.213759	1	48	1	541129	1800	5.069	5.069
20241110.213913	1	48	1	541129	2000	4.529	4.529
20241110.214026	1	48	1	541129	2200	4.739	4.739
20241110.214140	1	48	1	541129	2400	4.539	4.539
20241110.214253	1	48	1	561529	1600	6.469	6.469
20241110.214406	1	48	1	561529	1800	5.969	5.969
20241110.214519	1	48	1	561529	2000	6.119	6.119
20241110.214633	1	48	1	561529	2200	5.919	5.919
20241110.214746	1	48	1	561529	2400	6.159	6.159
20241110.214900	1	48	1	180539	1600	4.139	4.139
20241110.215013	1	48	1	180539	1800	5.249	5.249
20241110.215126	1	48	1	180539	2000	5.369	5.369
20241110.215240	1	48	1	180539	2200	5.849	5.849
20241110.215353	1	48	1	180539	2400	5.589	5.589
20241110.215507	1	48	1	186551	1600	4.659	4.659
20241110.215620	1	48	1	186551	1800	4.449	4.449
20241110.215733	1	48	1	186551	2000	4.999	4.999
20241110.215847	1	48	1	186551	2200	4.479	4.479
20241110.220000	1	48	1	186551	2400	4.289	4.289
20241110.220114	1	48	1	643043	1600	6.659	6.659
20241110.220227	1	48	1	643043	1800	6.439	6.439
20241110.220340	1	48	1	643043	2000	5.909	5.909
20241110.220454	1	48	1	643043	2200	5.419	5.419
20241110.220607	1	48	1	643043	2400	5.309	5.309
20241110.220720	1	48	1	934469	1600	5.329	5.329
20241110.220834	1	48	1	934469	1800	5.899	5.899
20241110.220946	1	48	1	934469	2000	5.399	5.399
20241110.221059	1	48	1	934469	2200	5.259	5.259
20241110.221212	1	48	1	934469	2400	4.649	4.649
20241110.221325	1	48	1	433549	1600	4.079	4.079
20241110.221439	1	48	1	433549	1800	4.349	4.349
20241110.221552	1	48	1	433549	2000	4.609	4.609
20241110.221705	1	48	1	433549	2200	4.349	4.349
20241110.221819	1	48	1	433549	2400	4.469	4.469
20241110.221932	1	48	1	596693	1600	4.519	4.519
20241110.222045	1	48	1	596693	1800	4.409	4.409
20241110.222158	1	48	1	596693	2000	4.649	4.649
20241110.222312	1	48	1	596693	2200	4.839	4.839
20241110.222425	1	48	1	596693	2400	4.229	4.229
20241110.222538	1	48	1	205453	1600	5.599	5.599
20241110.222652	1	48	1	205453	1800	5.469	5.469
20241110.222805	1	48	1	205453	2000	5.359	5.359
20241110.222918	1	48	1	205453	2200	5.089	5.089
20241110.223031	1	48	1	205453	2400	4.539	4.539
20241110.223145	1	48	1	217979	1600	4.639	4.639
20241110.223258	1	48	1	217979	1800	4.479	4.479
20241110.223411	1	48	1	217979	2000	5.079	5.079
20241110.223524	1	48	1	217979	2200	5.139	5.139
20241110.223638	1	48	1	217979	2400	5.349	5.349
20241110.223751	1	48	1	808937	1600	4.709	4.709
20241110.223904	1	48	1	808937	1800	4.959	4.959
20241110.224018	1	48	1	808937	2000	4.809	4.809
20241110.224131	1	48	1	808937	2200	4.709	4.709
20241110.224245	1	48	1	808937	2400	4.429	4.429
20241110.224358	1	48	1	628757	1600	6.619	6.619
20241110.224511	1	48	1	628757	1800	7.109	7.109
20241110.224624	1	48	1	628757	2000	7.019	7.019
20241110.224738	1	48	1	628757	2200	7.509	7.509
20241110.224850	1	48	1	628757	2400	7.619	7.619
20241110.225003	1	48	1	137353	1600	5.039	5.039
20241110.225116	1	48	1	137353	1800	5.679	5.679
20241110.225229	1	48	1	137353	2000	6.379	6.379
20241110.225341	1	48	1	137353	2200	6.889	6.889
20241110.225455	1	48	1	137353	2400	6.819	6.819
20241110.225608	1	48	1	564391	1600	4.629	4.629
20241110.225721	1	48	1	564391	1800	4.819	4.819
20241110.225834	1	48	1	564391	2000	4.659	4.659
20241110.225947	1	48	1	564391	2200	4.449	4.449
20241110.230100	1	48	1	564391	2400	4.649	4.649
20241110.230213	1	48	1	291077	1600	5.549	5.549
20241110.230326	1	48	1	291077	1800	5.399	5.399
20241110.230439	1	48	1	291077	2000	5.259	5.259
20241110.230552	1	48	1	291077	2200	5.409	5.409
20241110.230706	1	48	1	291077	2400	5.159	5.159
20241110.230819	1	48	1	340451	1600	5.379	5.379
20241110.230933	1	48	1	340451	1800	4.829	4.829
20241110.231045	1	48	1	340451	2000	4.549	4.549
20241110.231159	1	48	1	340451	2200	4.329	4.329
20241110.231312	1	48	1	340451	2400	5.739	5.739
20241110.231426	1	48	1	692641	1600	5.049	5.049
20241110.231539	1	48	1	692641	1800	5.269	5.269
20241110.231652	1	48	1	692641	2000	5.849	5.849
20241110.231806	1	48	1	692641	2200	5.679	5.679
20241110.231920	1	48	1	692641	2400	5.909	5.909
20241110.232033	1	48	1	974747	1600	5.359	5.359
20241110.232147	1	48	1	974747	1800	4.769	4.769
20241110.232259	1	48	1	974747	2000	4.679	4.679
20241110.232413	1	48	1	974747	2200	4.199	4.199
20241110.232526	1	48	1	974747	2400	4.369	4.369
20241110.232640	1	48	1	578999	1600	5.439	5.439
20241110.232753	1	48	1	578999	1800	4.789	4.789
20241110.232906	1	48	1	578999	2000	4.599	4.599
20241110.233020	1	48	1	578999	2200	5.079	5.079
20241110.233133	1	48	1	578999	2400	5.729	5.729
20241110.233214	1	48	20	-1	1600	5.1645	5.1645
20241110.233304	1	48	20	-1	1800	5.209	5.209
20241110.233354	1	48	20	-1	2000	5.1995	5.1995
20241110.233434	1	48	20	-1	2200	5.1655	5.1655
20241110.233514	1	48	20	-1	2400	5.168	5.168
